Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	61735	3202896	748	-0.4015
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	3208375	3609007	184	-0.96
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	3614480	8159090	3075	-0.4416
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	8161850	8187211	23	0.3408
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	8187300	15006363	3515	-0.4726
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	15010447	16871278	1122	-0.1959
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	16886135	17017078	62	-0.6471
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	17017530	17048479	17	-1.3654
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	17056457	17284920	91	-0.4938
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	17286210	23900242	4314	-0.1573
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	23907434	23945583	29	-3.3288
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	23948956	23960868	7	-1.2279
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	23968919	25583341	896	-0.1408
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	25593128	25646689	25	-1.1843
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	25646744	30726875	2390	-0.1795
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	30731522	30739299	11	-1.0093
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	30739796	31412953	521	-0.1598
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	31416009	31430432	4	-2.8073
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	31431176	33335039	834	-0.1573
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	33342737	33364745	13	0.6079
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	33370835	36722385	1915	-0.1569
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	36722788	36733000	7	-1.644
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	36735601	39652190	1768	-0.1582
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	39658322	54042047	7916	0.1326
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	54042336	54042650	2	-0.9449
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	54042871	54203107	127	0.1728
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	54208835	54222732	7	-0.705
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	54223477	59683071	4246	0.0687
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	59683629	59738856	37	0.5113
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	59745790	64079973	2979	0.0753
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	64084491	64088771	7	-1.1875
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	64095994	72768916	6012	0.0525
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	72768936	72811148	45	0.6063
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	72811904	76050844	1923	0.0224
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	76054763	76054854	2	-1.6351
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	76059509	83119332	4702	0.0519
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	83129233	83155082	30	-0.8549
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	83157217	85979932	1937	0.0605
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	85980350	86002735	10	0.8786
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	86003166	104113158	11398	0.0559
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	104113224	104260032	46	-0.5441
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	104260239	106019205	919	0.0457
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	106019236	106022360	15	0.772
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	106022375	108164135	1502	0.0261
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	108166843	108729759	434	0.5742
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	108734235	108734877	2	-2.6859
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	108737496	108986197	85	0.563
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	109013908	144008631	7813	0.0623
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	144013594	144897697	93	0.4423
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	144901750	144938997	24	1.0762
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	144945236	145159218	103	0.6082
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	145159233	147807716	888	1.0626
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	147807964	148572094	30	0.6429
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	148575315	148585337	4	-0.456
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	148627569	148858445	23	0.4346
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	148870400	149095022	53	0.8281
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	149095748	149202798	45	1.1499
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	149202878	149291599	59	0.7421
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	149306068	149732625	53	0.3493
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	149732729	152555527	1461	0.9936
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	152555706	152586594	35	-1.3452
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A07_802416	1	152590494	152759678	170	0.9714
