Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	61735	98602	17	-0.6349
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	228706	12837840	6506	-6e-04
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	12838744	13444682	67	-0.419
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	13444908	17017630	2200	0.0096
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17029592	17036214	4	1.065
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17036491	17037097	5	0.357
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17045458	17048196	4	1.1168
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17048405	17235868	46	0.0607
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17236208	17258965	30	0.4011
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	17259063	41346428	13664	0.0012
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	41347207	41376500	18	0.5841
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	41383724	106019205	41528	2e-04
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	106019236	106022090	13	0.5608
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	106022344	110227515	2669	0.0131
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	110232974	110242953	18	-0.7421
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	110244998	194447569	38308	9e-04
SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_H01_1365118	1	194448234	194460931	6	-1.1523
