Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	61735	235728	26	0.0734
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	235938	356542	3	1.8091
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	404171	1628826	200	-0.0016
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	1642103	1672603	14	-0.7835
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	1687587	12837840	6284	0.037
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	12838744	12883096	32	0.4508
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	12892309	72768916	36488	0.0312
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	72768936	72811133	44	-1.1974
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	72811148	89475255	10986	0.0301
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	89477958	89478205	2	-2.4294
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	89481524	104159347	9102	0.0257
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	104159384	104225568	15	0.6718
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	104239689	110224384	3605	0.0283
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	110224427	110232974	15	0.5827
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	110233037	110240178	16	1.7327
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	110242953	112690326	1955	0.0351
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	112695965	112697012	18	-0.5498
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	112697174	158866573	11915	0.0393
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_F08_741510	1	158868501	158869759	2	-1.2883
