Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	61735	9584442	4845	-0.0725
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	9588109	9596865	4	1.209
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	9602373	16953771	3893	-0.0667
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	16953842	17048405	57	0.4643
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	17048479	24728629	4807	-0.0772
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	24731753	24968290	140	-0.4079
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	24971069	26848624	998	-0.0609
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	26850295	28111384	465	-0.4529
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	28113862	72763370	27786	-0.0494
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	72768418	72809431	42	1.032
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	72809842	81888456	5786	-0.0309
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	81888602	81888605	2	1.517
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	81888667	96155176	9442	-0.0404
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	96155716	96156066	2	-1.719
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	96156216	110206487	8447	-0.0198
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	110207321	110240178	37	-0.5577
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	110242953	112690326	1954	-0.0459
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	112695965	112705956	26	0.6353
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	112706060	144016011	5195	-0.0439
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	144024538	148572094	1134	0.4219
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	148575315	148575555	2	-1.4614
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	148575561	149545386	210	0.4509
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	149548713	149664041	10	-0.3599
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	149676317	152555527	1483	0.4429
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	152555706	152586238	31	-2.1826
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	152586278	158866573	3830	0.443
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	158868501	158869759	2	2.6806
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	158874818	174796405	11237	0.4654
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	174796556	174801840	16	-0.123
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	174801854	179330528	3080	0.4654
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	179331382	179339206	4	-0.5514
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	179339262	189648157	6826	0.4741
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	189648483	189648527	2	-1.5003
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	189652047	193155792	2338	0.4887
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	193156279	193156348	4	1.5677
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	193159723	194448234	945	0.5022
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	194451411	194455018	2	-2.7913
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	194457016	196714873	1453	0.4827
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	196727850	196749217	27	-2.3553
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	196749821	196816730	70	-0.7396
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	196823317	223633353	18144	0.4689
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	223633385	223643578	30	0.0624
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	223643753	243047556	13912	0.4628
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	243048740	243059774	39	0.137
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	243062601	247944368	3181	0.4703
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	247946383	247966095	11	-0.2858
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	247967505	248592872	402	0.4671
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	248593241	248601320	5	-0.7315
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	248605752	248709670	33	0.3674
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A06_1244876	1	248713868	248795289	35	-0.2877
