Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	61735	229075	20	-0.7008
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	229158	1510801	206	0.0797
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	1627918	1672603	17	-0.3926
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	1687587	16970178	8523	0.0183
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	16970311	17012741	19	0.392
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	17012785	17048479	23	-0.0702
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	17056457	17277940	88	0.3533
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	17282425	25583341	5263	0.0076
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	25593128	25646184	24	-1.7
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	25646689	72763370	28851	0.0062
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	72768418	72811148	48	-1.09
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	72811904	104163499	20090	8e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	104163787	104307696	32	-0.3246
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	104308111	106021204	919	0.0077
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	106021219	106022375	11	-0.6856
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	106024055	110227515	2670	0.013
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	110232974	110246126	20	0.4191
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	110246130	112690326	1955	0.003
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	112695965	112697241	23	0.4765
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	112697376	144849544	5243	0.0084
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	144849552	144865627	2	-1.4976
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	144868360	148585337	1093	0.0066
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	148627569	148627842	3	-2.1952
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	148636769	152555527	1696	0.0135
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	152555706	152586238	31	-1.6993
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	152586278	161496900	5482	0.0099
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	161497320	161650494	58	0.3448
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	161650621	169216937	6010	0.0062
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	169233974	169241766	7	-2.366
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	169242401	189022973	13034	0.0094
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	189027223	189031361	7	-1.0347
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	189032480	196714873	5161	6e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	196727850	196801805	89	0.2755
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	196801850	240391740	30010	0.0043
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	240394015	240394139	6	-1.3474
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	240396105	248737447	5752	0.0082
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	248749194	248797213	33	-0.6295
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	1	248805339	249224388	145	0.0516
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	12784	34701625	24117	0.0048
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	34701671	34737057	42	0.395
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	34737163	52743925	13042	0.0034
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	52754468	52781522	39	0.438
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	52781542	76844466	15562	0.0035
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	76845173	76845426	5	-1.0043
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	76847586	79329146	1646	0.0033
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	79330778	79342099	7	0.6556
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	79342811	86937687	4717	-0.0024
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	86953070	86953854	2	-2.0879
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	86970406	87811313	232	0.0348
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	87815648	88024667	40	-0.4417
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	88046621	90248524	820	0.0134
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	90248784	91760882	29	-0.326
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	91760890	112052099	9232	4e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	112056287	112188518	43	0.3122
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	112196233	115536169	1907	0.0076
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	115536316	115542505	25	0.3156
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	115542598	117588586	1198	0.009
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	117589767	117591245	3	-1.4532
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	117591704	129638078	7660	-0.0041
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	129638478	129640315	15	-0.5715
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	129640329	184085453	33361	0.0029
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	184085788	184089724	9	-0.907
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	184093998	194987693	6167	0.0027
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	194987867	194989558	2	-1.6779
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	194989600	208354955	7950	0.0047
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	208355178	208359336	16	-0.5433
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	208359476	210111909	1097	0.0053
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	210112390	210116243	3	-1.2656
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	2	210116349	243089456	21033	0.0052
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	60345	68746164	47846	0.0035
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	68746259	68747413	14	-0.7377
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	68748758	75768081	4987	0.0083
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	75769273	75787319	5	-0.7088
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	75788117	84699758	4954	0.0038
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	84699793	84702600	18	-0.4702
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	84706284	89387101	2696	0.0068
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	89394592	89419381	51	-0.5871
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	89419921	98937784	3241	0.0056
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	98944458	98948802	23	-0.7534
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	98948912	98949292	11	-0.2914
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	98949301	98949314	3	-1.0449
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	98949421	146474143	29245	0.0058
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	146474323	146476483	3	-1.5963
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	146477052	162513149	9839	0.0041
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	162513459	162615915	60	0.5002
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	162623842	165277045	1502	-6e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	165280892	165297115	21	0.6784
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	165297625	165321772	22	0.4441
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	3	165321810	197896118	20383	0.0082
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	12281	9456977	5242	-0.0034
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	9461230	9486087	10	-0.9545
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	9496294	9859897	163	-0.0443
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	9859901	9864227	3	-1.734
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	9865042	10210390	379	0.0389
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	10214160	10235268	36	0.4502
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	10236142	69261064	36512	0.0054
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	69282205	69485979	86	-0.279
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	69489335	115173700	27748	0.006
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	115175323	115182175	23	-1.2541
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	115184229	137519803	12866	0.0063
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	137524828	137524981	2	-1.8187
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	137525867	155802548	11244	0.0072
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	155803005	155803078	3	-3.1692
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_H06_730950	4	155803199	190189043	22765	0.0049
