Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	61735	98602	17	-0.388
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	228706	2516044	499	0.0812
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	2521430	2552826	10	-0.6958
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	2553624	17593316	8595	0.0085
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	17593406	17620009	23	0.6001
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	17622654	72746567	33827	0.0017
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	72746581	72763370	12	-0.7907
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	72768418	72811148	48	1.8707
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	72811904	152555706	33689	0.0035
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	152555767	152586238	30	1.7249
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	152586278	161517939	5480	0.0071
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	161523550	161637210	42	-0.4772
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	161637868	174796556	9531	0.0045
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	174796699	174801854	16	-0.6454
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	174801872	196757853	14651	-0.0017
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	196757902	196801850	56	0.3661
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	1	196801987	249224388	35870	0.0076
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	12784	4205687	2987	0.0095
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	4213864	4224019	42	-0.543
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	4230062	52758753	34100	-0.0067
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	52758768	52781542	32	0.7919
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	52787949	146864443	53527	-0.0011
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	146864457	146866934	21	-1.3188
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	146877806	184084153	22803	-9e-04
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	184085453	184093998	11	-0.9438
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	184094262	213186549	17141	-0.0041
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	213187203	213190748	16	-0.9134
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	213190767	214575941	889	0.0159
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	214576813	214586896	4	-2.5895
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	2	214587159	243089456	18167	0.0021
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	60345	68746164	47753	0.0029
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	68746259	68748786	16	0.8589
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	68748945	75568549	4928	0.0056
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	75572549	75586805	6	1.2819
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	75595181	129785940	29739	0.0056
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	129786209	129843548	65	0.3441
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	129844552	142542034	7735	0.0076
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	142542237	142546021	3	-1.6754
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	142546354	162532950	12505	6e-04
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	162534730	162540490	6	1.2255
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	162545716	192877902	19209	0.007
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	192877962	192882903	19	1.0321
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	3	192886435	197896118	2702	0.0376
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	12281	10210390	5797	0.0205
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	10214160	10235268	36	1.139
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	10236142	10390715	170	0.0374
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	10392354	10400156	14	-0.7098
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	10400511	32389364	15422	0.0101
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	32394074	32400599	5	1.2002
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	32401513	32467188	50	0.0074
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	32467508	32470739	2	-1.5332
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	32471588	34778860	1286	-0.0037
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	34778962	34824183	43	0.4295
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	34824725	69372003	19445	0.0079
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	69374941	69582483	75	0.7252
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	69591612	138092239	40926	0.0072
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	138092420	138108487	19	-0.6208
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	138108980	168808128	19106	0.008
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	168808600	168992441	160	-0.7871
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	168993884	172368531	2144	0.0105
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	172369346	172377710	11	0.8989
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	172377724	190189043	12122	0.0098
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	190195118	190199264	4	-2.416
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	4	190199771	191027923	385	0.0337
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	15532	698472	309	0.0963
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	698505	800686	33	1.3394
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	800839	12800889	9855	0.012
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	12815780	12838533	14	-1.0711
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	12849201	21376844	5474	0.0041
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	21377839	21377853	2	3.386
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	21386066	27521149	3598	0.0214
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	27524452	27535473	17	-0.6089
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	27535516	46271108	11432	0.0122
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	46271930	46273502	6	-1.9538
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	46278212	61162099	7672	0.0066
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	61162114	61162152	2	-1.8625
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	61163819	110275176	28302	0.003
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	110276143	110312510	31	-1.0561
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	110317162	151515484	26649	0.0035
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	151515498	151516788	6	-1.2359
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	151518063	180380203	19304	0.0101
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E12_735204	5	180387138	180418103	16	0.634
