Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	61735	62937	6	0.1606
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	72704	742293	35	-0.5001
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	745913	2061969	340	-0.0742
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	2069681	2074104	3	-1.4236
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	2075068	2981841	276	-0.0634
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	2982621	2994717	3	-1.3401
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	2996196	12841928	5849	-0.0523
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	12845863	13471945	71	-0.6418
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	13506877	17190004	2230	-0.0567
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	17190862	17284920	67	-0.4871
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	17286210	22301569	3334	-0.06
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	22309874	22342389	12	-0.8471
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	22344202	72763370	30753	-0.0644
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	72768418	72811148	48	0.3517
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	72811904	76050844	1931	-0.0603
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	76054763	76054854	2	-1.7799
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	76059509	83815957	5158	0.0692
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	83816477	83825590	3	-1.2644
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	83828273	106002162	13919	0.1448
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	106012754	106033932	30	0.5692
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	106034215	149062827	11049	0.1578
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	149067149	149202745	57	0.6175
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	149202798	152555706	1580	0.1254
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	152555767	152586540	32	1.1324
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	152586576	152762285	179	0.0849
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	152762394	152768259	25	0.4431
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	152768281	153676562	632	0.0761
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	153677942	153678097	2	-1.2272
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	153680016	154163111	188	0.0532
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	154167626	154239283	37	0.7632
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	154247254	187715854	22692	0.2204
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	187717560	187721369	2	-1.7566
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	187724610	216669038	19359	0.1595
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	216673050	219395613	2019	-0.2503
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	219399600	228802765	5840	0.438
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	228807528	231929956	2227	-0.3387
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	231936203	232125160	151	0.7501
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	232125381	232132433	9	0.4047
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	232136678	232138033	6	0.8128
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	232141956	232182387	39	0.4189
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	232185431	240360119	6341	-0.2776
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	240366340	240368390	11	0.6626
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	240372896	242978133	2055	-0.316
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	242979906	243385871	191	0.2579
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	1	243389186	249224388	3705	-0.1552
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	12784	950291	647	-0.6632
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	950475	1146828	123	-1.2148
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	1147224	2500096	857	-0.6742
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	2500179	3386646	735	-0.2472
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	3394434	3395383	4	-1.251
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	3397690	4811427	1118	-0.2406
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	4811626	11617838	5187	-0.6885
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	11618069	11738531	85	-0.3795
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	11740177	20270027	6348	-0.6664
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	20270099	21894815	1041	-0.2523
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	21895689	22544522	348	-0.6035
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	22545813	24293816	1162	-0.0325
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	24301177	24636073	206	-0.6417
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	24641299	25534757	447	0.0017
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	25535665	26161384	294	-0.6585
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	26167305	27439751	637	-0.063
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	27441302	27441500	3	-1.0498
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E02_777590	2	27441904	27952406	186	-0.09
