Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	61735	8191792	4063	0.0147
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	8192626	8192925	2	-2.3544
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	8195226	10091661	980	0.021
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	10097020	10103011	5	-1.0891
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	10106775	17005978	3720	0.0044
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	17011450	17012190	7	0.7324
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	17012226	17236270	75	0.1909
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	17239467	17262247	39	0.4989
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	17276241	30738534	7691	0.0103
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	30739299	30739796	3	-1.8861
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	30741496	40097518	5277	0.0156
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	40104461	40104584	2	-1.7848
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	40114624	58482943	11141	0.0104
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	58483054	58483220	3	-1.5562
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	58484277	66670804	5994	0.0086
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	66670835	66671850	4	-1.4442
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	66672336	72768418	4021	0.0115
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	72768498	72811904	48	0.3993
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	72812440	81619707	5585	0.0105
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	81625888	81625967	2	-1.4635
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	81629650	88256046	4549	2e-04
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	88257854	88260648	5	-1.8015
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	88261043	90552424	1496	0.0055
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	90555907	90556150	2	-1.6274
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	90556980	104159384	8456	0.0098
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	104163499	104303403	28	-0.5983
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	104303501	106019205	919	0.0076
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	106019236	106022375	16	0.8053
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	106024055	108910745	2018	0.0109
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	108928460	108986197	11	-0.5769
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	109013908	110226970	637	0.0024
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	110227317	110235032	16	0.7089
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	110236932	112690326	1963	0.0093
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	112695965	112697390	25	-2.0322
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	112705956	149024808	6377	0.0123
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	149036524	149246030	120	0.7249
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	149246275	149384897	35	0.3709
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	149386959	149436842	9	1.0252
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	149521840	152756774	1702	0.0438
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	152756806	152768259	35	-0.3507
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	152768281	174796405	14878	0.0089
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	174796556	174797610	13	-0.7075
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	174797687	175714750	695	-0.0127
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	175717468	175718786	2	-1.8792
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	175722149	179458648	2471	0.0049
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	179459460	179459676	3	1.0943
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	179467684	193682630	9521	0.0105
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	193684654	193684770	3	-1.1573
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034	1	193698037	194448234	516	-0.0084
