Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	61735	404171	30	-0.5989
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	534551	1510801	196	-0.0191
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	1627918	1672603	17	-0.7572
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	1687587	16968125	8513	0.0055
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	16968134	17114712	70	-0.3955
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	17177045	72768916	34207	0.0065
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	72768936	72822505	54	0.4384
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	72822797	76050844	1921	0.0062
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	76054763	76054854	2	-2.8314
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	76059509	76400261	228	-0.0095
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	76400657	76401224	2	-1.4511
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	76401812	104103230	17895	0.0124
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	104109238	104130168	17	0.5511
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	104132359	110227515	3645	-0.003
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	110232974	110234555	10	-1.0748
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	110234628	112690326	1964	0.0062
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	112695965	112706149	33	-0.4654
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	112706194	120300775	4897	0.0044
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	120305506	120308275	4	-1.0102
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004	1	120308975	120527361	150	0.016
