Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	61735	229075	20	0.3485
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	229158	229619	3	-1.1417
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	229677	17190862	8808	0.007
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	17195155	17262247	61	-0.4919
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	17276241	25582843	5271	0.0095
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	25583291	25662212	33	0.5021
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	25663310	41021036	8177	0.0084
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	41022076	41028210	4	-1.3949
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	41028926	64900424	15266	0.0088
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	64901105	64902455	2	1.2475
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	64902483	72768498	5413	0.0045
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	72768916	72818599	51	0.277
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	72818779	104163499	20086	0.0084
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	104163787	104268222	26	0.5297
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	104303403	106019370	923	0.0021
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	106019483	106022375	13	-0.5309
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	106024055	110227515	2668	0.0102
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070	1	110232974	110240178	17	-0.8728
