Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	61735	12841928	6532	0.0581
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	12845863	12859399	6	-1.3771
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	12859413	12883096	23	-0.3737
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	12892309	13376042	24	0.2277
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	13376489	13506877	19	-0.3848
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	13538311	16153497	1818	0.0742
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	16153536	16153925	5	1.1388
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	16154201	30738355	8174	0.0657
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	30738432	30739796	6	-1.0643
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	30741496	41770312	6180	0.0687
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	41774354	41775255	2	-2.1591
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	41783083	72768916	20282	0.0607
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	72768936	72811148	45	-1.5871
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	72811904	76050844	1933	0.0162
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	76054763	76054854	2	-2.5652
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	76059509	81888456	3854	0.0316
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	81888602	81888694	5	-1.1119
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	81888724	99062646	11125	0.0522
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	99063022	99067939	2	-2.1309
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	99068507	106013376	4123	0.0305
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	106019205	106022375	17	-2.2592
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	106024055	148950175	11051	0.0631
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	148953996	149143160	61	-0.7463
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	149143173	149422459	103	-0.4206
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	149422617	152555767	1504	0.0765
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	152555795	152586594	33	0.4535
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	152590494	152762008	175	0.0782
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	152762046	152768700	33	0.6126
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D01_628356	1	152773905	161464960	5259	0.0494
