Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	61735	98602	17	-0.1694
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	228706	7956573	3926	0.0241
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	7960146	7961206	2	-1.7618
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	7961294	12862337	2599	4e-04
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	12867090	12882985	14	0.4409
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	12883096	16830583	2167	0.0044
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	16830820	17005734	49	0.3025
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	17005776	17048479	37	-0.2058
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	17056457	17195155	26	0.1681
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	17203497	17261797	57	-0.2304
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	17261888	25593128	5276	7e-04
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	25595881	25646986	27	0.3652
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	25661501	67688349	25598	0.0037
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	67689036	67689608	2	-1.1118
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	67692453	72750353	3259	-0.0017
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	72756113	72763370	9	-0.954
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	72768418	72811148	48	1.1083
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	72811904	104109238	20071	0.0031
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	104109354	104268222	53	0.5184
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	104303403	106019205	921	-0.0117
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	106019236	106022375	16	0.7421
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	106024055	110221727	2655	0.0069
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	110224384	110246273	37	0.3932
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	110246278	112690326	1951	-0.0011
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	112695965	112706062	28	-0.5573
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	112706082	158959575	11970	0.0141
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A01_1039582	1	158962039	158962796	2	-1.113
