Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	61735	23200253	12631	-0.7246
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	23204183	23207352	3	-4.0347
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	23209278	25582679	1301	-0.7061
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	25582843	25646184	27	-1.6427
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	25646689	28692960	1303	-0.7075
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	28695597	30918453	1231	0.4587
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	30918567	30923171	4	-0.8273
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	30923423	31560369	431	0.4463
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	31563981	31621427	28	1.0199
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	31623667	31625346	2	-0.5088
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	31625389	32094261	258	1.0108
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	32098210	33115887	412	0.422
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	33119593	33549955	180	1.0564
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	33551778	39128601	3314	0.4938
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	39132430	39132433	4	-0.7707
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	39132462	41021036	989	0.4284
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	41022076	41028210	4	-1.2801
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	41028926	41764244	395	0.425
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	41766097	42961659	814	0.9195
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	42962221	53593017	5672	0.2805
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	53593813	53597410	3	-0.6503
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	53598104	59823488	4793	0.2385
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	59828549	60421236	378	1.033
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C11_735316	1	60421762	60613343	133	0.6169
