Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	61735	25583341	14148	-0.2356
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	25593128	25673154	34	0.404
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	25678084	31731291	3065	-0.2303
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	31735880	35091674	1893	0.1051
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	35102654	35104491	20	-0.3924
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	35114268	72750353	23854	0.0903
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	72756113	72763370	9	-0.5673
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	72768418	72811148	48	0.8887
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	72811904	104221531	20090	0.0773
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	104221631	104307243	27	-0.3843
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	104307258	106019205	917	0.1011
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	106019236	106022375	16	-1.5797
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	106024055	110221727	2653	0.0869
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	110224384	110227317	12	0.6364
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	110227396	110227515	3	-0.3007
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C10_778000	1	110232974	110240178	17	1.0416
