Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	61735	228706	18	0.2803
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	228729	9331952	4678	-0.3985
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	9331973	9335745	4	-1.9035
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	9339205	10946252	817	-0.3849
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	10950726	10995479	20	0.2206
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	10999494	17016880	3248	-0.3802
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	17017078	17048479	18	-1.4318
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	17056457	25583341	5351	-0.3933
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	25593128	25646946	27	-1.6572
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	25646986	30738355	2399	-0.3787
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	30738432	30739796	6	-2.4572
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	30741496	31863558	729	-0.3795
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	31863663	46018624	7960	-0.0374
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	46020716	62114006	10372	-0.37
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	62114181	62118187	3	-2.2658
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	62119809	70997442	6234	-0.3653
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	70997639	70997811	2	-2.425
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	70997913	76050844	3121	-0.3574
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	76054763	76054854	2	-2.0253
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	76059509	85980350	6688	-0.3707
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	85988564	86006009	11	0.2216
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	86006208	101521405	9853	-0.3541
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	101524748	101795963	206	0.9321
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	101798089	102289185	355	1.1756
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	102289362	104159384	1043	0.6003
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	104163499	104268222	27	1.2513
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	104303403	105235291	501	0.5812
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	105245555	105955437	380	-0.0473
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	105955467	106019370	43	0.2497
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	106019483	106022375	13	0.8837
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	106024055	109351033	2223	0.2379
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	109357456	109719110	181	-0.0593
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	109720385	113601174	2838	-0.3825
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	113601721	116086727	1537	-0.0223
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	116090354	144842558	3128	0.3135
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	144849539	144849552	3	2.1597
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	144865627	152763069	3022	0.4128
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	152767467	152768259	12	0.8723
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	152768281	157478538	2505	0.401
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	157482454	157482947	2	-0.8643
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	157483273	196732086	27073	0.4116
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	196738623	196823716	96	0.0852
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	196823836	210071062	8822	0.4236
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	210081613	210082065	2	-1.6079
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	210083984	222366668	8624	0.4288
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	222374834	222377004	2	-3.8092
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	222382134	223016406	335	0.4008
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	223017325	223023604	5	-1.3493
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	223023769	238855281	11048	0.4096
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	238855638	238856094	3	-0.7304
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	238862449	246645797	5685	0.4006
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	246651547	248493023	1168	0.7305
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	1	248498810	249224388	279	0.3774
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	12784	4205687	2991	0.0971
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	4213864	4223833	41	-0.5616
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	4224019	11712706	5775	0.1348
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	11718858	11731683	16	0.6199
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	11731774	24607065	9138	0.1303
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	24607071	24610788	11	-0.6762
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	24611128	43525839	12722	0.1284
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D08_741406	2	43526229	43532524	8	-1.2499
