Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	61735	82170	9	-0.8112
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	82315	16149915	8410	-0.1141
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	16153497	16155010	10	0.6271
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	16165661	16808694	287	-0.1478
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	16813921	16970178	52	0.1899
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	16970311	17114712	62	-0.1478
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	17177045	17295212	75	0.1722
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	17297698	25583341	5262	-0.1221
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	25593128	25662212	31	0.7724
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	25663310	35102654	4970	-0.1281
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	35102670	35104491	19	-0.8375
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	35114268	37890951	1495	-0.1186
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	37891045	37903112	13	0.4283
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	37920683	51272200	7506	-0.1246
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	51278648	51379813	41	0.1965
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	51380860	72750353	14810	-0.1061
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	72756113	72763370	9	-1.1682
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	72768418	72811148	48	0.7125
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	72811904	76050844	1933	-0.1327
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	76054763	76054854	2	-2.3055
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	76059509	87161637	7467	-0.1287
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	87163233	87165593	3	-1.6416
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	87171727	104221631	10696	-0.1268
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	104221647	104260032	19	-0.6188
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	104260239	106013376	922	-0.1199
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	106019205	106022375	17	0.4503
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	106024055	121355881	9854	-0.1071
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	121436219	149908108	1465	0.4524
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	149920616	152555527	1393	1.1829
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	152555706	152586278	32	0.8007
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	152586540	152759678	173	1.2284
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	152761923	152768700	37	-0.1391
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	152773905	155995015	1695	1.0531
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	155999571	158866573	1930	0.7532
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	158868501	158869759	2	3.6528
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	158874818	164680196	4096	0.7996
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	164682021	164832942	119	0.1723
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	164833975	169918913	4054	0.4874
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	169923163	170304251	277	0.1549
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	170308964	170315081	10	0.7573
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	170320681	170498873	128	0.2037
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	170504202	170714230	127	0.7306
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	170714911	172315585	1042	0.1824
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	172318558	172362801	30	0.5039
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	172365156	172900301	355	0.1846
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	172900795	172930310	20	0.7291
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	172933115	173092584	108	0.3235
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	173094569	173107210	11	0.8564
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	173108362	173990556	520	0.4937
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	173998794	246830068	49772	0.1599
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	246830488	246883787	29	0.5644
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	246885581	246942042	38	0.1659
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	246942107	246946021	23	0.5605
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	246946209	248725234	1072	0.0736
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	248736075	248797213	35	-2.2966
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	1	248805339	249224388	145	-0.0715
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	12784	24601780	17953	-0.134
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	24601806	24616134	27	0.3052
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	24616149	34701394	6142	-0.131
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	34701583	34717908	27	0.5829
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	34717974	34737057	17	1.0805
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	34737163	52743925	13047	-0.1436
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	52754468	52811714	60	0.1567
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	52811730	91787788	23059	-0.1309
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	91788512	91796684	16	0.6553
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	91801077	97846700	944	0.133
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	97846850	98013814	30	0.5712
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	98014319	115535914	10185	0.1482
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	115536169	115539699	17	-0.8816
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	115541648	133046772	10498	0.1491
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	133049047	133123699	30	-0.2552
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	133129166	153796068	13081	0.1371
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	153796770	153796784	2	-2.2443
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	153800569	208354912	32811	0.1307
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	208354955	208359149	16	-0.41
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	2	208359336	243089456	22153	0.1442
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	60345	53023211	35808	0.1366
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	53031736	53039279	39	-1.433
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	53039455	53041519	7	-0.2206
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	53041854	68746164	12036	0.167
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	68746259	68748758	15	0.9391
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	68748786	85570561	10470	0.1449
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	85577197	85577233	2	-1.2897
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	85581386	87918445	1295	0.141
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	87919805	87958575	18	0.6519
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	87958942	89387101	882	0.1425
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	89394592	89394713	6	-0.7241
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	89394726	89407025	9	-0.0723
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	89407038	89417287	33	-0.7078
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	89419364	98937784	3248	0.1366
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C03_628546	3	98944458	98951383	40	-0.3483
