Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	61735	98588	16	-0.6123
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	98602	404171	14	0.5303
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	534551	25593128	14067	-0.3345
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	25595881	25662005	29	0.2078
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	25662212	30668659	2323	-0.3294
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	30669469	30804362	129	-1.1454
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	30804440	35103827	2508	-0.33
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	35103864	35104491	9	-1.1414
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	35114268	35307443	121	-0.3226
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	35307679	35313501	2	-1.6747
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	35314244	39117575	2065	-0.3341
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	39119083	39132462	7	0.356
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	39135188	41343061	1162	-0.3358
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	41344619	41376500	20	0.3404
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	41383724	72768418	20338	-0.3099
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	72768498	72811148	47	0.7996
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	72811904	104163787	19931	-0.3043
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	104178038	104303403	26	-0.8372
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	104303501	106021381	917	-0.2797
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	106021627	106022375	9	-1.8457
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	106024055	120549597	9669	-0.3179
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	120553354	121130963	45	0.0858
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	121155528	121436219	78	-0.276
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	121447136	149024808	1186	0.3566
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	149036524	149202745	80	-0.7237
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	149202798	149545386	88	-0.1844
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	149548713	149578722	3	0.909
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	149617451	149732625	22	-0.0589
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	149732729	152555176	1454	0.3619
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	152555527	152586594	36	1.1813
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	152590494	161508791	5451	0.364
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	161508875	161638201	47	-0.1857
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	161638480	169216937	5971	0.383
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	169233974	169241766	7	-0.7509
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	169242401	223016406	35805	0.3795
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F12_799816	1	223017325	223023769	6	-1.2471
