Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	61735	1165193	137	-0.0525
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	1165310	1453602	71	0.6709
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	1462766	16830583	8516	0.0304
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	16830820	16970178	44	-0.3029
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	16970311	21751244	3151	0.0513
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	21759795	21760125	2	-1.4652
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	21769887	25583341	2244	0.0432
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	25593128	25662005	30	-1.1765
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	25662212	26282396	274	0.025
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	26283834	26415545	72	0.5871
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	26416260	26418765	2	0.1134
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	26418927	35091674	4619	-0.2053
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	35102654	35104491	20	-2.4486
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	35114268	54028447	10402	-0.2017
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	54029642	54029893	3	-1.5481
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	54030132	55090200	634	-0.1936
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_G11_731040	1	55093291	55094389	2	-1.5445
