Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	61735	229173	22	0.4961
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	229619	17029592	8776	0.0161
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	17030245	17258139	84	-0.3753
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	17258501	35091638	10282	0.013
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	35091674	35104491	21	-0.527
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	35114268	35832710	340	0.0428
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	35833129	35838179	2	-1.447
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	35840347	64381917	17714	0.0153
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	64386919	64388443	2	-1.2821
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	64388979	72756174	5805	0.0172
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	72759212	72763370	6	-0.971
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	72768418	104159384	20140	0.0133
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	104163499	104260032	24	-0.4997
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	104260239	106019205	924	0.0089
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	106019236	106022375	16	0.4748
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	106024055	108729759	1944	0.0131
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	108734235	108734877	2	-5.6217
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	108737496	110227515	724	0.0218
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	110232974	110234628	11	-1.0648
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	110235032	112690326	1961	0.0242
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	112695965	112697390	25	-0.357
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	112705956	145150924	5387	0.0126
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	145151057	145152757	10	0.61
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	145156301	152555527	2643	0.0254
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	152555706	152586238	31	-1.7214
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	152586278	169216937	11548	0.0099
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	169233974	169238558	4	-3.0358
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	169238731	169241766	3	-1.2392
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	169242401	193155792	15801	0.0161
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	193156279	193156332	3	-1.3405
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	193156348	196709760	2397	0.0109
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	196711067	196761820	46	-0.8832
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	196762066	196801655	45	-0.399
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	196801784	196842271	29	0.0239
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	196843171	196847975	18	-0.8818
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	196853350	199111363	1343	0.013
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	199111426	199113840	8	-0.9606
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	199114238	210071062	7430	0.0151
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	210081613	210083984	3	-2.4324
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	210086552	248709670	26949	0.0149
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	248713868	248795289	35	-0.632
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	1	248795852	249224388	148	0.016
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	2	12784	34691069	24113	0.014
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	2	34699315	34737057	46	0.7094
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	2	34737163	243089456	125918	0.0126
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	60345	224602	157	0.0304
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	230022	232639	3	-3.0676
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	232800	26601100	19902	0.0152
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	26601760	26611885	9	-0.9496
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	26611898	32601375	4259	0.015
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	32604284	32638255	18	0.5067
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	32638658	46789175	8909	0.0144
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	46791545	46832050	28	0.347
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	46832081	53032038	2523	0.0168
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	53033148	53041519	34	-0.4844
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	53041854	68746164	12030	0.0185
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	68746259	68747413	14	-1.3757
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	68748758	75568549	4936	0.0132
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	75572549	75586805	5	-2.5502
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	75595181	125436237	27317	0.0098
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	125443608	125458762	10	0.8091
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	125462329	162508192	22815	0.0146
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162508268	162524858	13	0.5942
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162528630	162540490	10	-0.9977
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162545716	162567671	10	0.6619
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162567726	162623853	34	0.2247
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162623881	162626603	6	0.6581
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	162628614	168730180	3443	4e-04
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	168733402	168738628	2	-2.2597
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	3	168739827	197896118	18471	0.0129
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	12281	10210390	5804	0.0195
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	10214160	10234266	31	-1.6367
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	10234608	34779054	17004	0.0143
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	34786500	34829872	39	0.5674
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	34829913	63667834	16026	0.0163
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	63669936	63671662	8	-1.5851
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	63679630	69261064	3446	0.0126
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	69282205	69288142	5	0.8631
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	69294799	86976094	10915	0.014
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	86976391	86980089	20	-0.733
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	86982428	122281973	21272	0.0098
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	122282468	122285135	28	-0.6157
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	122291131	181609701	36331	0.0099
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	181609886	181614228	3	-1.5756
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	181614368	189221258	5404	0.024
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	189221360	189221439	4	1.56
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	4	189222813	191027923	1176	0.0271
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	15532	741695	324	-0.0044
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	742039	866370	44	0.3952
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	866430	12800889	9859	0.0199
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	12815780	12838533	14	-1.1527
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	12849201	46271108	20580	0.011
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	46271930	46273502	6	-2.3815
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	46278212	52402048	1717	0.0104
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	52404519	52405282	2	-1.7334
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	52409439	57321646	3361	0.0055
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	57326027	57333533	32	1.3863
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	57338357	97933671	23446	0.0129
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	97934026	97935134	4	-1.3463
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	97935770	117386617	12831	0.0143
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	117388422	117389085	11	-0.6683
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	117404340	150177097	20416	0.0109
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	150177708	150218604	18	-0.5024
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	150223387	151514171	963	0.0144
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	151515386	151518351	14	-0.7872
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	151520271	162858174	7600	0.0138
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	162862184	162862542	2	-2.7997
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	5	162866548	180790320	11913	0.0174
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	149661	257353	102	-0.0056
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	258265	385056	106	-0.366
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	385687	6026211	4655	0.022
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	6033931	6034436	3	-1.243
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	6037045	9612277	2827	0.0238
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	9613309	9613597	2	-1.7932
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	9614735	23117427	10081	0.017
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	23119502	23180436	51	-0.9492
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	23183437	32686196	5238	0.0193
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	32688615	32688853	3	-2.1134
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	32689324	57215494	15695	0.015
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	57226182	57370329	69	0.3373
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	57378045	67008262	3408	-0.0032
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	67008286	67048629	56	-0.7684
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	67049406	74591858	5005	0.0099
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	74592225	74597341	9	0.7481
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	74601410	78971712	2774	0.0199
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	78971781	79035185	109	-0.4896
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920	6	79039234	103734829	15497	0.0029
