Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	61735	61808	2	0.637
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	61823	603590	31	0.213
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	625470	3009969	638	-0.4233
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	3010586	3114952	36	0.2259
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	3119489	8686133	3599	-0.3955
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	8687866	11971749	1757	0.3046
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	11976632	16943613	2678	-0.3696
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	16943638	17005978	27	-0.031
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	17011450	17012741	12	0.532
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	17012785	17048479	23	-0.0141
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	17056457	17109281	14	-0.3072
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	17111296	17261797	69	-0.7236
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	17261888	18643411	1019	-0.367
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	18644586	18645231	3	-2.0869
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	18646231	31796985	7374	-0.3802
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	31802788	31884997	52	0.3323
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	31888910	39491506	4254	-0.3892
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	39493121	48673691	5240	1e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	48673745	48674064	4	-1.5674
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	48676166	61191552	8088	-0.0249
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	61195274	62200717	792	0.7093
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	62202096	66372906	3078	-0.039
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	66375669	66500675	90	0.2504
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	66504657	66726939	172	-0.0251
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	66727585	66728163	3	-1.588
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	66730242	72768418	3975	-0.0419
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	72768498	72811148	47	1.0543
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	72811904	81912363	5845	-0.0679
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	81912889	81915701	2	-1.8256
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	81917191	85718363	2592	-0.0322
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	85727218	85727228	2	-1.4865
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	85727949	85979932	180	-0.0157
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	85980350	86003166	11	0.6211
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	86006009	106013376	12398	-0.044
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	106019205	106024055	18	-1.1355
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	106024070	110232974	2671	-0.0529
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	110233037	110244998	18	-1.1816
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	110246126	113155024	2326	-0.0277
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	113155944	113158260	2	-1.5534
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	113163438	144081043	4879	-0.0294
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	144471986	149245189	1272	0.6768
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	149246030	149422459	42	0.4347
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	149422617	149664041	17	0.0464
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	149676317	149748542	18	0.4872
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	149758024	152555527	1466	0.7284
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	152555706	152586576	34	-1.7193
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	152586594	152761923	173	0.7303
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	152761939	152778558	41	1.1355
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	152778576	153956391	730	0.7525
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	153966660	154222032	110	1.0093
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	154225344	155180466	497	0.7327
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	155189160	155201064	11	1.522
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	155211667	155661227	203	0.7343
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	155661971	155663357	2	-1.9792
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	155666961	158866573	2064	0.7141
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	158868501	158887302	15	-0.0073
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	158887317	166176043	5388	0.7297
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	166184481	166194370	10	1.3363
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	166195702	169216937	2307	0.7335
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	169233974	169241766	7	1.3859
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	169242401	174796405	3526	0.7198
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	174796556	174801854	17	-0.3732
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	174801872	177504269	1786	0.6994
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	177507727	180871202	2248	1.153
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	180876314	180884601	4	0.1722
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	180886762	181912081	802	1.1221
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	181912132	196714873	9832	0.7103
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	196727850	196732086	4	-1.6373
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	196738623	196812507	90	0.3104
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	196812530	199107702	1382	0.7222
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	199111363	199113840	9	-1.519
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	199114238	201945957	1982	0.7794
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	201947072	201976480	16	0.3353
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	201986984	237121511	23975	0.7363
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	237124179	237182424	57	1.163
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	237189528	240391740	2616	0.6712
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	240394015	240394124	5	-1.9777
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	240394139	243939568	2617	0.7006
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	243941652	244105678	108	1.1398
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	244109658	246922496	1915	0.736
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	246926465	247172257	174	1.1412
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	247177956	248022379	557	0.7085
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	248024763	248025951	2	-0.5134
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	248028037	248709670	380	0.7086
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	248713868	248795289	35	0.0271
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	1	248795852	249224388	148	0.7234
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	12784	16411	3	-1.4049
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	21833	6268752	4656	-0.0513
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	6268863	6268993	2	-1.806
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	6272579	29056403	15530	-0.0342
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	29060057	29426938	274	0.2523
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	29428146	29428355	6	-0.5933
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	29428370	31782791	1820	0.0286
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	31786992	31792910	9	-1.1329
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	31794439	32846315	413	-0.0229
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	32847060	32879162	18	0.5214
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	32881435	34820764	1492	-0.0438
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	34828677	34828994	3	-1.3023
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	34829016	52754561	13001	-0.0381
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	52754728	52754881	3	-2.1816
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	52758753	63246342	6909	-0.0397
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	63251145	63474904	76	0.2352
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	63488790	73859624	6605	-0.0304
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	73866509	74129712	133	0.3005
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	74139262	97873036	10369	-0.0495
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	97873321	97898583	9	-0.4149
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	97898653	98025647	19	0.2193
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	98063372	98168606	14	0.8357
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	98173428	99415588	669	0.24
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	99420256	105877751	4033	-0.0391
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	105881350	106077869	152	0.2703
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	106077878	106880095	723	-0.0375
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	106880713	106885357	11	-1.9584
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	106887255	125147751	10741	0.0087
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	125150723	125152830	2	-2.749
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A08_1513202	2	125153540	130545565	3453	-0.0516
