Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	61735	228706	18	-0.1283
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	228729	404171	12	0.7593
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	534551	14699215	7314	-0.2343
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	14701690	14981240	230	-0.6374
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	14982117	16903726	1141	-0.2334
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	16909609	17005978	38	-0.5508
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	17011450	20883422	2660	-0.2173
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	20883503	20883816	3	-1.4841
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	20884941	30923061	5295	-0.2192
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	30923171	30923423	2	-1.7114
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	30923786	72750353	26272	-0.1946
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	72756113	72763370	9	-3.2354
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	72768418	72779080	12	2.4068
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	72779091	72811148	36	1.1813
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	72811904	79319800	4082	-0.1867
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	79320311	79550601	135	-1.4849
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	79554502	79555327	2	-0.8376
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	79555605	104159384	15838	-0.1746
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	104163499	104303403	28	-0.6837
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	104303501	105045884	414	-0.1592
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	105050362	105050416	2	0.79
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	105051014	106013376	503	-0.1732
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	106019205	106022375	17	0.4067
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	106024055	108729759	1941	-0.1657
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	108734235	108734877	2	-4.1678
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	108737496	110227515	725	-0.1909
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	110232974	110240178	17	-1.4433
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	110242953	112690326	1957	-0.2
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	112695965	112706198	35	0.2452
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	112706205	120109260	4713	-0.1772
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	120110074	120110257	2	-1.4491
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	120110511	144842558	511	-0.174
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	144849539	144868360	5	0.7948
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	144869084	145792050	379	-0.4966
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	145792064	147725262	639	0.8203
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	147731342	149256691	245	-0.4429
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	149259416	149702535	54	-0.0968
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	149713789	149739073	8	0.3726
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	149748542	152555795	1469	0.7666
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	152555884	152586540	30	1.1269
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	152586576	153202934	549	0.6621
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	153203220	155063518	957	0.9891
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	155066416	155212267	60	0.5821
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	155213124	156496188	567	0.8201
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	156498001	158375658	1241	0.581
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158378537	158409962	27	0.206
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158411545	158608829	190	-0.0836
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158609300	158636864	17	0.3604
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158637119	158681180	53	-0.09
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158681444	158866573	172	0.2397
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158868501	158869759	2	1.4991
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158874818	158884721	10	0.0233
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158886778	158887302	3	0.8005
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	158887317	159174123	188	0.1227
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	159176687	165421658	4577	0.515
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	165421804	165422373	9	0.0057
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	165422460	189648157	16396	0.4972
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	189648483	189648527	2	-1.1043
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	189652047	189657100	4	0.6636
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	189660293	189680603	15	0.0103
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	189684184	189954975	222	0.284
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G07_734644	1	189958100	191513228	1014	-0.0609
