Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	61735	62920	5	-1.336
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	62937	16149343	8415	-0.1062
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	16149915	16153497	2	-1.0064
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	16153536	16153925	5	-2.3728
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	16154201	16828502	298	-0.1371
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	16830583	17005776	51	0.2441
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	17005978	17262247	122	-0.1979
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	17276241	17635411	279	0.4191
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	17636012	25582629	4987	-0.0956
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	25582679	25646986	32	0.4933
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	25661501	28829902	1348	-0.1209
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	28830865	35783959	3970	0.215
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	35792274	36264058	208	-0.1212
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	36283598	70998786	22206	0.2109
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	70999657	71001138	3	-1.3931
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	71002192	72768936	1141	0.2067
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	72771143	72811148	44	0.4604
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	72811904	86773046	9189	0.2211
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	86776822	86778266	2	-1.1465
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	86780082	87026924	162	0.2126
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	87028669	87039945	12	-1.0074
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	87040567	110221727	14356	0.2147
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	110224384	110232974	16	0.7943
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	110233037	110242953	17	1.4735
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	110244998	120300775	6890	0.2129
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078	1	120305506	120305525	2	-0.9591
