Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	61735	1628826	229	-0.2504
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	1642103	1672603	14	0.6463
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	1687587	3326093	583	-0.3067
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	3326170	3337408	7	-0.8408
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	3337552	16943613	7907	-0.2223
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	16943638	17048479	62	-0.6064
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	17056457	25415121	5227	-0.2296
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	25415682	25424322	5	-1.3635
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	25424889	25583341	118	-0.2768
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	25593128	25663344	33	0.2291
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	25673154	39542129	7430	-0.2252
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	39542737	72750353	21400	0.0271
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	72756113	72763370	9	-0.9825
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	72768418	72811148	48	0.4074
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	72811904	110224384	23698	0.0097
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	110224427	110242953	32	0.766
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	110244998	111377368	840	0.0138
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	111377565	111388226	38	-0.8023
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	111392067	112690326	1076	0.012
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	112695965	112697390	25	-0.5314
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	112705956	144029156	5201	0.0109
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	144034097	144593253	38	0.2602
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	144842558	144957815	76	0.6878
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	144965770	145792050	311	0.3586
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	145792064	147048111	412	0.885
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	147051493	147373886	206	0.4038
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	147377379	147554183	15	1.3655
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	147554301	149732625	312	0.4083
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	149732729	151755322	966	0.9421
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	151761661	152555527	503	0.2191
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	152555706	152586238	31	-2.1703
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	152586278	152586594	4	-0.7912
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	152590494	152759678	171	0.2326
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	152761923	152768700	37	-0.6907
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	152773905	168570759	10737	0.2169
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	168571831	168574672	4	-0.7278
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	168574698	169216937	589	0.2082
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	169233974	169241766	7	-2.7459
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	169242401	189648157	13458	0.2097
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	189648483	189648527	2	-1.1509
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	189652047	193155792	2335	0.2098
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	193156279	193156348	4	-1.2966
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	193159723	195642916	1679	0.2065
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	195644629	195647048	2	-2.1081
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	195649242	199111363	2195	0.2098
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	199111426	199115332	15	0.6328
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	199115877	210081613	7427	0.215
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	210082065	210083984	2	1.8295
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	210086552	227774905	11910	0.2097
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	227777149	227785062	4	-0.9333
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	227787820	240391740	9272	0.2156
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	240394015	240394139	6	-0.7613
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	240396105	248622152	5720	0.2149
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	248624337	248635140	5	1.0029
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	248637264	248737447	27	0.1006
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	248749194	248795289	30	-0.7384
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	1	248795852	249224388	148	0.2578
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	12784	29630	9	0.0427
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	30143	34346	4	-0.8917
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	36862	295136	167	0.0558
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	295255	296812	3	-1.1034
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	296852	34691069	23908	0.0138
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	34699315	34737057	46	0.436
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	34737163	52754480	13036	0.0105
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	52754500	52781542	38	-2.9777
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	52787949	87128201	21995	0.0097
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	87129203	87137385	2	-2.0278
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	87161853	112444459	10434	0.0109
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	112446944	112447366	2	-2.0665
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	112451387	112610266	52	0.0262
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	112612628	112614904	2	-1.1311
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	112616486	113570777	517	0.0019
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	113570809	113571124	2	-1.1857
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	113571902	126442223	8164	0.019
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	126451651	126451913	2	-3.246
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_E10_1367332	2	126451932	129638078	1945	0.0148
