Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	61735	21759795	11907	0.2162
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	21760125	21769887	2	-1.1443
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	21769997	22649994	557	0.2277
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	22653550	22653875	2	-1.4234
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	22656404	25556691	1674	0.2311
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	25558560	25646689	36	-0.1737
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	25646744	27379471	740	0.2222
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	27379950	27380879	3	-0.7647
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	27381440	30738355	1659	0.2263
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	30738432	30739796	6	-0.831
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	30741496	38582858	4397	0.2244
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	38584032	38584749	2	-1.4579
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	38584881	72763370	22046	0.2029
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	72768418	72811148	48	1.3598
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	72811904	104159384	20092	0.1896
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	104163499	104259444	23	0.7179
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	104260032	152555706	13653	0.2075
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	152555767	152586594	34	-0.8552
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	152590494	158866573	3828	0.2037
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	158868501	158869759	2	-1.6711
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	158874818	168860255	7397	0.1981
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	168865123	168865164	2	-1.1422
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	168865476	169216937	322	0.199
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	169233974	169241766	7	1.0754
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	169242401	174796266	3524	0.2024
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	174796405	174802134	23	-0.1821
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	174802152	195828511	14077	0.1897
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	195830332	195874907	41	-1.1379
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	195876060	222366668	18079	0.2009
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	222374834	222377004	2	-3.1857
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	1	222382134	249224388	18508	0.198
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	12784	34691069	24079	-0.1022
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	34699315	34737556	48	0.407
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	34738032	52739180	13024	-0.0957
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	52739217	52781497	40	0.357
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	52781504	54217050	1115	-0.0881
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	54220049	54700173	338	0.4446
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	54700187	56535038	1304	-0.1033
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	56538460	56540728	8	-1.0859
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	56550162	89551189	20097	-0.102
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	89551194	90267121	175	-0.8221
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	90269005	98023306	1034	-0.0852
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	98025647	98162189	13	-0.9705
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	2	98166878	243089456	88659	-0.1032
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	60345	21732114	16274	-0.1067
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	21732945	21734116	2	-1.7607
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	21734234	37977417	11390	-0.1161
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	37982108	37986883	17	-1.0593
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	37986928	60006600	13017	-0.1048
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	60007631	60007657	2	1.5884
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	60007697	89387046	19785	-0.1117
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	89387101	89419381	52	-0.6209
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	89419921	129763698	22023	-0.1187
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	129766586	129806924	52	-0.4782
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	129806998	162508268	20277	-0.1167
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	162512657	162626572	71	0.69
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	162626603	175883749	8164	-0.1092
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	175888059	175914479	33	-0.9926
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	175916221	192873807	10993	-0.1179
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	192874747	192882903	21	-1.0593
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	3	192886435	197896118	2705	-0.0973
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	12281	65677	55	-0.2853
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	65761	10210390	5741	0.2125
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	10214160	10235007	33	-0.6725
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	10235166	34779040	16994	0.19
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	34779054	34841364	50	0.5049
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	34841386	63667834	16022	0.1945
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	63669936	63671662	8	-0.6003
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	63679630	69372003	3468	0.1841
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	69374941	69489335	65	-1.5429
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	69505115	115173700	27749	0.1846
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	115175323	115182175	23	0.8851
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	115184229	122281973	4352	0.1847
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	122282468	122291522	30	-0.4263
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	122291627	138089547	8877	0.1796
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	138092103	138095121	20	-0.2993
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	138108363	161880141	14778	0.1872
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	161880197	161884600	17	-0.3857
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	161884908	169339557	4744	0.185
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	169343045	169348039	3	-1.5048
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	169352425	172368531	1929	0.18
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	172369346	172377710	11	-0.5581
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	172377724	187074833	9921	0.194
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	187075015	187079384	8	-0.5838
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	4	187080046	191027923	2611	0.196
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	15532	1630989	760	0.1331
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	1635899	1639103	5	-1.0235
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	1639901	12819313	9460	0.2038
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	12819375	12838533	11	0.8989
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	12849201	41561373	18452	0.1996
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	41564126	41564438	2	-1.3462
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	41564562	46271108	2120	0.2108
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	46271930	46273502	6	-2.3747
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	46278212	46313535	5	0.356
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	46313641	49455636	18	-0.1875
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	49459054	51792327	1179	0.2026
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	51792982	51795914	2	-1.8522
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	51795961	52404519	516	0.1889
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	52405282	52409439	2	-1.6552
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	52411785	57326027	3363	0.194
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	57326163	57333293	29	-0.1948
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	57333515	61573372	2839	0.1943
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	61574991	61576273	3	-1.0699
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	61582192	68829347	4462	0.2006
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	68846303	69118135	6	-0.6689
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	69233427	97485129	15879	0.1967
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	97487008	97487225	4	1.2047
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	97492056	97930840	252	0.1859
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	97933671	97935134	5	-0.7091
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	97935770	103851221	3422	0.2133
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	103860373	103860604	4	1.2918
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	103861049	137805120	22177	0.1966
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	137808423	137815711	16	-0.7939
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	137816468	178925843	27082	0.2001
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	178928761	178937392	7	-0.6205
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	178939918	179096480	114	0.2908
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	179103273	179108197	16	-0.3494
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	179108248	180374523	716	0.2199
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	180378710	180417911	18	0.7813
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	5	180418103	180790320	172	0.2083
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	149661	887482	630	-0.1863
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	887802	888109	2	-2.026
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	888239	15502307	11467	-0.1129
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	15503546	15505128	4	-1.3962
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	15505533	32431292	10835	-0.11
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	32431552	32650612	74	0.6371
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	32654640	32686196	36	-0.0609
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	32688615	32692227	12	0.5891
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	32700684	53931419	13682	-0.1118
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	53931803	53931855	2	-1.9939
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	53935348	78962626	13294	-0.1132
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	78962874	79032317	110	0.2406
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	79032592	82967602	2583	-0.1175
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	82968705	82969112	2	-1.5111
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	82969780	168819237	55636	-0.1204
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	168819800	168820045	2	-2.2479
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	6	168823680	171051005	1527	-0.1461
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	43355	26132290	18864	0.2066
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	26142392	26145413	4	-3.1775
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	26147219	70420438	25998	0.1973
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	70423250	70426141	2	-1.5876
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	70428243	97395460	15862	0.1981
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	97395462	97402475	15	-0.308
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	97404240	98456114	525	0.1995
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	98466021	98552743	44	0.6237
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	98553617	98573774	19	1
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	98577659	98774738	123	0.6468
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	98774826	133778652	20712	0.1957
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	133785177	133798109	32	-0.2345
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	133798543	141763124	5203	0.1966
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	141769643	141805542	48	-0.0842
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	141807886	142474939	445	0.2188
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	142476719	142486045	27	-1.9642
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C04_772016	7	142486115	143709699	693	0.1886
