Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	61735	712545	36	0.2736
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	718663	1510801	190	-0.0525
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	1627918	1672603	17	-0.7502
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	1687587	17114712	8573	-0.0205
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	17177045	17283075	70	-0.4129
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	17284920	35091674	10254	-0.0202
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	35102654	35104491	20	-0.4914
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	35114268	72750353	23842	-0.0249
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	72756113	72763370	8	-0.8364
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	72768418	72811148	48	0.3316
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	72811904	83804437	7091	-0.0341
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	83812787	83815957	3	-1.0452
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	83816477	104163787	12985	-0.0393
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	104178038	104268222	25	-0.871
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	104303403	106002162	918	-0.0368
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	106012754	106022375	19	0.6091
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	106024055	110221727	2655	-0.0388
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	110224384	110226970	11	0.5879
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	110227317	110227515	4	-0.0476
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	110232974	110244998	19	1.0719
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	110246126	112690248	1954	-0.0275
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	112690326	112697390	26	0.3553
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	112705956	120545176	5056	-0.0238
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	120549597	121120602	43	0.2114
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	121127900	144008335	86	-0.0156
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	144008375	144542773	44	0.391
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	144545755	144897697	52	0.1961
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	144901750	152762008	2964	0.4723
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	152762046	152768700	33	0.8521
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_C05_777716	1	152773905	161508875	5278	0.4765
