Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	61735	6011601	2810	0.0358
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	6011905	6057725	24	0.3488
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	6059229	16147392	5577	0.0136
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	16148537	16167799	19	0.4111
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	16167855	16368977	85	0.0404
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	16374330	16403721	7	-0.5941
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	16405611	17005776	248	0.0214
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	17005978	17303844	139	0.2643
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	17308158	25583341	5257	0.0134
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	25593128	25646986	28	-0.416
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	25661501	31237596	2817	0.0124
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	31238496	31262837	11	0.5054
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	31265857	40096053	4861	0.0025
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	40097518	40160148	32	0.4222
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	40161013	80304790	25909	-9e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	80305032	80310958	10	-0.5883
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	80311033	81326992	641	-0.0092
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	81329765	81330975	3	-1.2608
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	81331397	102320888	13713	0.0033
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	102323621	102326159	6	-0.8665
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	102326991	110227515	4632	-0.013
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	110232974	110240178	17	-1.2732
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	110242953	149548726	8529	1e-04
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	149578722	149617451	2	-1.4381
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	149617488	152555176	1489	0.0308
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	152555527	152586576	35	0.8376
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_D10_1513248	1	152586594	152759678	172	-0.0144
