Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	61735	4891603	1874	0.0652
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	4894138	4894144	2	-1.2678
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	4894950	12354307	4382	0.0909
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	12355487	12355503	2	-1.277
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	12357088	12915847	301	0.0959
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	12924596	13384264	23	-0.2033
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	13384383	16046591	1763	0.1168
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	16048038	16048112	2	-1.0337
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	16048114	16148537	61	0.1113
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	16149003	16167799	18	0.5265
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	16167855	17016880	359	0.0782
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	17017078	17076467	20	-0.6794
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	17082412	17195155	24	-0.0298
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	17203497	17276241	61	-0.4825
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	17277940	25593128	5269	0.1068
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	25595881	25646946	26	0.5757
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	25646986	35091638	4969	0.0916
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	35091674	35104491	21	-0.5913
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	35114268	70894671	22616	0.0904
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	70894889	70932877	41	-0.3685
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	70933641	72763370	1209	0.0653
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	72768418	72811148	48	0.8134
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	72811904	104159384	20093	0.087
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	104163499	104261206	26	-0.4777
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	104268222	106019205	922	0.1126
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	106019236	106022360	15	1.0036
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	106022375	108766355	1965	0.1001
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	108769302	108817179	2	1.3897
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	108828957	109651310	415	0.1269
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	109652143	109659685	2	-1.8563
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	109659903	110232974	288	0.0691
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	110233037	110234628	10	1.3856
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	110235032	110240178	6	0.5899
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	110242953	110250235	8	-0.5479
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	110250236	112164649	1501	0.071
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	112167209	112171513	5	-0.9043
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	112174905	112706205	478	0.0968
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	112706213	112706218	2	-1.341
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	112709053	114831965	1316	0.0876
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	114833626	114833710	2	-1.9144
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	114833802	161508791	12234	0.0803
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	161508875	161638201	46	-0.303
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	161638480	196714873	24233	0.0787
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	196727850	196758159	39	-2.1818
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	196759274	196815791	57	-1.1347
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	196816730	201780395	3276	0.0823
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	201783720	201789705	6	0.5906
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	201790270	201836761	26	0.9202
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	201839998	210071062	5513	0.5556
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	210081613	210082065	2	-1.5241
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	210083984	240391740	21192	0.5666
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	240394015	240394124	5	-2.1503
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	240394139	248725234	5751	0.5657
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	248736075	248797213	35	-0.6053
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	248805339	248866903	39	0.5457
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	248867244	248872658	4	-1.2212
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	1	248876308	249224388	102	0.5134
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	12784	176411	93	0.001
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	178283	178356	2	-3.1356
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	180484	27769833	19395	0.0712
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	27772015	27779518	6	-0.8284
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	27784428	34701583	4625	0.08
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	34701625	34737057	43	0.7372
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	34737163	35975973	877	0.0729
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	35977790	35987947	7	-1.681
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_F01_1388154	2	35997473	38373552	1917	0.0722
