Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	61735	86341	15	-0.2203
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	98588	12834580	6508	0.044
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	12835868	13715453	90	0.4908
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	13715762	16814994	2104	0.0253
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	16815530	16970178	50	0.3539
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	16970311	17012785	20	-0.2476
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	17016177	17195155	48	0.5013
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	17203497	17214822	5	-0.7903
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	17217283	72750353	34195	0.0169
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	72756113	72763370	9	-1.0624
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	72768418	72812440	50	0.5483
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	72816755	102706476	19360	0.0057
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	102707876	102742558	21	-0.6489
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	102743007	104225568	716	0.0018
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	104239689	104303403	14	0.9561
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	104303501	105252205	504	5e-04
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105254068	105254147	2	-1.9085
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105254258	105343583	41	-0.0339
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105343644	105393481	20	-0.4354
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105394215	105491927	61	0.0362
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105492132	105505952	6	-0.6855
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	105507848	105999870	276	0.0056
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	106000399	106024798	31	-0.5128
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	106028674	108729759	1938	-0.0099
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	108734235	108737496	3	-4.5342
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	108739104	110224384	710	0.0177
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G11_698066	1	110224427	110251964	50	0.4093
