Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	61735	229173	22	0.3739
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	229619	25583341	14074	-0.5094
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	25593128	25646184	24	-1.3029
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	25646689	37537317	6220	-0.4938
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	37539867	38332378	456	-0.005
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	38333571	51831171	7512	-0.4891
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	51837737	54393004	1409	0.163
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	54393366	54407504	7	-0.4789
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	54410037	54430183	10	0.127
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	54432019	54620021	115	-0.507
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	54625292	69448822	11026	0.1807
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	69449173	71024996	944	-0.4415
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	71026188	72750353	1092	0.1823
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	72756113	72768916	12	-0.3702
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	72768936	72812440	47	0.5784
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	72816755	104103230	20042	0.1725
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	104109238	104303403	55	0.4482
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	104303501	110224384	3591	0.1798
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	110224427	110242953	32	0.6932
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	110244998	111376220	839	0.1801
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	111377368	111392067	40	-0.4994
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	111393297	112690326	1076	0.1596
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	112695965	112706060	27	-0.3049
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	112706062	149229843	6483	0.1777
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	149242663	149248712	17	0.6799
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	149248727	150108108	233	0.1731
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	150108831	150111985	2	-1.276
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	150114083	152762008	1509	0.1493
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B06_735144	1	152762046	152768700	33	0.5404
