Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	61735	25582679	14109	0.0198
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	25582843	25662212	34	0.3476
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	25663310	72750353	28691	0.0206
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	72756113	72763370	9	-0.7555
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	72768418	72811148	48	0.952
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	72811904	78713760	3695	0.0272
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	78713875	82532311	2527	-0.3634
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	82540937	82784940	137	0.0687
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	82785839	111678502	18249	-0.3698
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	111679989	112688311	884	0.0068
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	112690211	112697012	21	0.5612
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	112697174	121334853	5167	0.0296
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	121335728	152555176	2838	0.3307
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	152555527	152585718	30	0.8556
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	152586117	152759678	176	0.3583
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	152761923	152768700	37	0.0358
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	152773905	210071062	38179	0.3269
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	210081613	210083984	3	-1.6867
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	210086552	212999819	1942	0.3269
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	213004455	213010436	8	-0.7009
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	1	213014453	249224388	25019	0.3317
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	2	12784	34691069	23994	0.0216
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	2	34701394	34701735	5	-2.3999
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	2	34708632	34717974	24	-1.1111
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	2	34717988	34737057	16	-2.2445
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G10_799898	2	34737163	35975973	866	0.0301
