Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	61735	603590	33	0.4496
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	625470	17190004	8717	-0.2843
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	17190862	17246009	28	-0.6962
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	17246171	17247886	6	-1.6846
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	17248398	17262247	28	-0.6995
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	17276241	25583341	5234	-0.2777
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	25593128	25662005	30	-1.6221
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	25662212	31901187	3139	-0.2955
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	31901652	32314977	219	0.3059
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	32315551	33705720	561	0.0256
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	33706216	33709608	2	-1.8343
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	33710429	35091674	1021	0.0929
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	35102654	35104491	20	-0.9651
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	35114268	59238746	14377	-0.0682
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	59239168	60125751	630	0.9113
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	60128122	60577064	300	0.5226
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	60583243	60993142	252	0.8064
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	60993677	61344945	246	0.5044
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	61345009	61493936	147	0.8086
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	61493988	62113102	455	0.5113
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	62114006	62118187	3	-1.3437
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	62119809	63666050	1109	0.48
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	63668754	63767634	54	0.0778
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	63768093	64397391	412	0.4807
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	64401531	64777242	293	0.0782
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	64778270	65427606	628	0.6327
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	65429215	65429974	7	-0.4389
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	65435063	66265272	549	0.6011
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	66265353	66273290	13	-0.213
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	66274156	66310865	25	0.4525
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	66311760	72768916	4278	0.1106
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	72768936	72816755	48	0.4236
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	72817021	76050844	1925	0.064
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	76054763	76054854	2	-2.3625
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	76059509	102554248	17284	0.0555
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	102556274	102556805	2	-2.1768
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	102557721	110225920	4438	0.0636
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	110225965	110242953	29	-1.1212
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	110244998	111376220	837	0.0446
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	111377368	111392067	40	-0.6896
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	111393297	112688311	1069	0.0444
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	112690211	112697376	27	-0.491
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	112697390	158959575	11940	0.1744
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	158962039	158962796	2	-1.4395
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	158966864	159248815	183	0.5244
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	159256666	160759670	1033	0.0373
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	160765200	163084690	1629	0.7616
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	163085510	163752093	490	-0.2
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	163755191	169216937	4312	0.7474
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	169233974	169238558	4	-2.7325
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	169238731	169242401	4	-0.52
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	169254877	171855319	1815	0.9502
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	171858076	171986958	92	1.5805
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	171990088	178437444	3968	1.0368
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	178437531	178444907	6	0.4353
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	178445815	189478900	7405	-0.1943
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	189479737	192609645	2069	0.2206
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	192612681	192697412	48	0.5496
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	192701375	196714822	2754	0.2301
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	196714873	196799505	80	-0.4643
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	196799699	205465032	5753	0.2114
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	205465257	205467785	2	-2.6458
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	205467891	210071062	3059	0.2599
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	210081613	210083984	3	1.387
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	210086552	210134548	31	0.5373
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	210137219	222366668	8571	0.2371
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	222374834	222377004	2	-2.889
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	222382134	223644406	744	0.1976
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	223644439	223645256	3	-1.3666
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	223645361	231410610	4911	0.2505
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	231413920	231414890	2	-2.4588
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	231415110	237820710	4829	0.4115
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	237824230	238193075	282	0.8392
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	1	238209766	249224388	7700	0.4157
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	12784	1769527	1139	0.0379
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	1772199	22897984	15591	-0.2366
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	22898479	28807936	3178	0.0612
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	28811077	52741737	17115	0.3531
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	52743925	52754881	8	-1.5224
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	52758753	63592230	7038	0.3259
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	63592446	63746342	65	0.6499
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	63748452	75434245	7428	0.3207
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H05_735042	2	75442644	75443590	2	-1.6318
