Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	61735	17017078	8783	0.0147
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	17017530	17262247	103	0.3369
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	17276241	22496703	3454	0.0266
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	22501716	22504272	3	-1.3091
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	22507423	25593128	1812	0.0252
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	25595881	25611452	13	0.5174
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	25616296	30741496	2420	0.0178
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	30741656	30745210	3	-1.6284
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	30747576	42453187	6685	0.0183
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	42453317	42453539	2	-1.8726
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	42465728	56523748	8066	0.0094
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	56531423	56535752	3	-1.5531
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	56536686	62113102	4279	-0.004
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	62114006	62119978	6	-1.3939
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	62120564	72768916	7376	0.0024
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	72768936	72811148	45	1.071
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	72811904	72820027	8	0.0977
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	72822505	72827978	5	-1.033
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	72828312	110224384	23685	0.0013
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	110224427	110232974	15	0.5445
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	110233037	110234231	7	1.1544
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	110234410	110246126	12	0.6039
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	110246130	111110227	615	0.0062
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	111110462	111110766	2	-1.4281
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	111111149	148893345	7723	0.0483
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	148906617	149290775	153	0.7056
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	149291599	149545386	29	0.3346
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	149548713	149617451	4	1.253
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	149617488	152761939	1695	0.1481
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	152761955	152778558	40	-0.1535
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	152778576	169216937	11326	0.146
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	169233974	169238745	6	1.1408
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	169241766	174796556	3526	0.1474
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	174796699	174801854	16	-0.6261
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	174801872	218179591	29246	0.1458
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	218180366	218182238	5	-1.0745
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	218182257	229811169	7376	0.1531
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	229816856	229820196	3	-3.357
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	1	229820456	249224388	14048	0.1455
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	12784	4205687	2986	0.162
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	4213864	4223167	36	-0.3704
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	4223512	34717908	21110	0.2037
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	34717974	34736513	16	0.9152
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	34737057	35975973	878	0.2881
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	35977790	35986716	4	-2.2617
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	35986908	38372878	1919	0.312
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	38373412	38375096	5	-0.634
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	38375771	52754468	10238	0.3035
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	52754480	52781542	39	-2.3468
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	52787949	98118128	24078	0.2948
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	98118212	98161710	9	-0.8038
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	98162189	129638078	19034	0.0502
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	129638478	129640315	15	-0.6914
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	129640329	130818197	882	0.0673
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	130820754	130820850	2	-1.7632
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	130823235	140361385	5579	0.0461
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	140366091	140373334	2	-3.0701
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	140378548	146862085	4011	0.0244
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	146864404	146866934	24	-1.8101
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	146877806	208354955	36976	0.0513
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	208355178	208359336	16	-2.8293
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	208359476	213181322	3043	0.0486
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	213186549	213191825	25	-0.9225
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	213192126	226074567	8452	0.0616
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	226074931	226075559	2	-2.1526
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	226076780	240328213	9120	-0.0422
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	240329646	240331389	2	-2.0675
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	2	240333093	243089456	1474	-0.1292
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	60345	57505359	38985	0.0091
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	57507281	57508869	6	-1.2163
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	57511458	75568549	13776	-0.0053
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	75572549	75608639	9	0.7413
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	75613174	98937784	11000	-0.0648
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	98944458	98945395	15	-1.5394
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	98945410	98949056	12	-3.3603
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	98949069	98949421	11	-1.505
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	98950964	102363131	1897	-0.1664
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	102363770	102363871	2	-2.0057
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	102364275	129763698	16825	-0.181
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	129766586	129806236	51	0.2571
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	129806924	195285664	41033	-0.0342
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	195285898	195442582	25	-0.885
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	3	195446597	197896118	1195	0.0435
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	12281	34779054	22800	-0.1198
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	34786500	34824725	38	-1.9951
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	34829872	36009934	770	-0.0248
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	36011393	36012853	3	-1.8246
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	36013141	36923855	611	-0.0252
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	36926541	36926570	2	-1.5353
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	36927021	55497886	9452	-0.01
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	55501726	55505360	3	-1.8029
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	55505933	63667834	5178	-0.0137
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	63669936	63671662	8	-1.7449
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	63679630	76181338	7469	-0.1154
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	76181798	76184807	3	-1.4735
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	76190070	115173700	23783	-0.1214
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	115175323	115184229	24	0.6469
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	115184252	155802548	24092	-0.249
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	155803005	155803057	2	-2.732
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	155803078	172369346	10607	-0.2546
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	172374884	172377724	11	0.4794
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	172377776	172989300	402	-0.282
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	172989373	172989533	8	-1.836
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	4	172995979	191027923	12108	-0.2612
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	15532	5681033	4423	-0.2273
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	5682532	5714059	29	0.45
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	5714087	8711638	2499	-0.2316
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	8711848	8749776	41	-0.6961
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	8751906	32102731	15324	-0.2206
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	32107084	32158455	40	0.4889
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	32170287	46251306	8384	-0.2074
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	46271008	46273502	8	0.9457
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	46278212	49568108	46	-0.1954
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	49568960	58353153	5836	-0.5451
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	58355032	58356097	4	-1.8263
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	58356113	82860348	14306	-0.5487
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	82860380	82860427	2	-2.8702
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	82860624	90699931	4259	-0.55
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	90700243	128130113	23781	-0.2244
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	128135141	129202335	640	-0.5442
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	129202781	129229193	12	-0.1981
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	129229209	132546486	1700	0.0718
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	132549671	134916031	1610	-0.5471
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	134917282	135872528	665	-0.9904
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	135875183	154753334	11924	0.1245
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D06_731076	5	154754316	164833618	6713	0.5112
