Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	61735	86341	15	-0.7824
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	98588	1628826	214	-0.0524
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	1642103	1663396	10	0.6692
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	1663831	17016880	8546	0.0052
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	17017078	17056457	19	0.4512
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	17076467	17100877	12	-0.2303
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	17109281	17277940	75	0.2483
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	17282425	31621427	8302	-0.0391
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	31623667	31625346	2	-1.8676
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	31625389	60046102	17008	0.0025
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	60052066	60058279	2	-1.4532
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	60058706	72750353	8802	0.009
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	72756113	72763370	9	-3.0383
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	72768418	72811148	48	0.9269
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	72811904	104163787	20065	0.0083
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	104178038	104303403	26	-0.6826
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	104303501	106013376	918	1e-04
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	106019205	106022375	17	-1.9267
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	106024055	110232974	2667	0.013
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	110233037	110240178	16	1.3809
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	110242953	111377368	841	0.0258
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	111377565	111392067	39	-0.7193
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	111393297	112690248	1074	0.0098
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	112690326	112705956	27	0.465
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	112706060	121340237	5171	0.0073
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	121343796	149024802	1197	0.2233
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	149024808	149422459	161	-0.5511
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	149422617	152759678	1704	0.1915
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	152761923	152768700	37	0.8293
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	152773905	158881324	3630	0.1948
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	158884519	158887302	5	1.0264
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	158887317	161612246	1650	0.1943
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	161616864	161638201	36	0.6512
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	161638480	169216937	6001	0.1928
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	169233974	169241766	6	1.0169
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	169242401	196714873	18178	0.1932
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	196727850	196815791	96	-0.3064
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	196816730	210071062	8811	0.1938
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	210081613	210082065	2	1.9169
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	210083984	222366668	8606	0.1925
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	222374834	222377004	2	-2.8359
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	222382134	248737447	18318	0.1988
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	248749194	248795289	30	-0.8199
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	1	248795852	249224388	148	0.26
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	12784	10384019	7861	-0.0165
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	10384242	10384289	2	-1.5964
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	10392089	24606954	10071	-0.0949
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	24606982	24611727	15	-0.885
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	24613559	34681494	6138	-0.0126
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	34683290	34737057	49	-0.4736
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	34737163	52743925	13037	0.0075
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	52754468	52790140	42	0.5677
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	52790493	86937687	21914	0.0116
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	86953070	86953854	2	-1.6689
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	86970406	87761615	217	0.03
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	87763297	87765018	2	-1.8758
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	87766225	89319313	649	0.0104
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	89320921	89369338	11	-0.7991
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	89385322	129638078	20303	0.011
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	129638478	129639236	13	-0.747
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	129640297	146862085	10473	0.0044
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	146864404	146866934	24	-1.5592
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	146877806	213385517	40186	0.0108
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	213385622	213386075	2	-2.6334
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	2	213387563	243089456	18919	0.0099
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	60345	1781803	1548	0.019
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	1782524	1787581	6	-1.1063
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	1789158	5727522	3449	-0.0043
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	5727851	5727970	2	-1.7247
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	5728284	75568549	47757	0.009
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	75572549	75596246	8	-1.4261
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	75608639	98936963	10996	-0.0081
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	98937784	98949292	35	-0.4213
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	98949301	129763698	18740	0.026
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	129766586	129806236	51	0.4242
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	129806924	162137855	20007	0.0827
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162137870	162138107	4	1.0589
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162142483	162532950	283	0.0778
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162534730	162540490	6	-1.6893
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162545716	162714517	120	-0.0645
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162717727	162719562	2	-2.7869
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	162726159	165040564	1241	0.071
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	165040863	165081939	66	-0.7348
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	165085429	192874747	17796	0.0807
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	192877902	192882903	20	1.0808
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	192886435	195418263	1493	0.0859
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	195422289	195501404	49	-0.2074
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	3	195501971	197896118	1163	0.0979
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	12281	3599450	1506	0.0181
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	3599869	3602184	2	-1.6131
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	3609390	9456977	3737	0.0094
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	9461230	9464972	3	1.4977
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	9470734	10210390	550	0.0319
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	10214160	10235268	36	0.8683
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	10236142	10390122	170	0.0861
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	10390715	10402746	19	-0.4534
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	10402764	34786500	16793	0.0095
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	34786955	34819211	34	-0.2949
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	34821340	49267848	8979	0.0109
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	49291192	49291355	2	-2.2408
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	49297220	70074034	10877	0.0072
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	70076229	70228624	75	0.2849
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	70228656	70389716	116	0.0276
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	70389861	70390779	2	-2.2016
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	70391888	104745571	20914	0.0098
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	104751630	104751637	5	1.1364
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	104751644	156954939	31277	0.0092
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	156956632	156973205	17	-0.6776
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	156974697	179514669	14162	0.0076
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	179516852	179517275	5	-1.2573
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	179517646	189221258	6941	0.017
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	189221360	189221375	2	1.851
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	189221424	189436915	211	0.0601
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	189437086	189437410	8	-0.8575
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	4	189439872	191027923	960	-0.0028
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	15532	12800889	10212	0.0046
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	12815780	12838533	14	0.741
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	12849201	13802998	561	0.0099
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	13803120	13803158	2	-1.6078
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	13803552	17502872	2605	0.004
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	17503652	17503951	2	-1.3386
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	17504177	19008361	920	0.0053
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	19008924	19018089	4	-0.8295
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	19018534	19458788	282	-0.0031
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	19459021	19462271	4	-0.9354
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	19462838	27524452	4710	0.0061
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	27525390	27528614	13	-0.6078
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	27533659	46251306	11447	0.0072
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	46271008	46273502	8	-1.6583
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	46278212	57321646	5078	0.0079
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	57326027	57333515	31	2.2295
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	57333533	68824217	7294	0.0096
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	68825001	69074991	7	0.6219
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	69117923	70254906	15	-0.1869
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	70306659	70391253	8	-0.9316
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	70654072	97045121	15591	0.0066
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	97048466	97099320	43	-0.9607
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	97099684	98921852	1004	0.0102
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	98922899	98930716	7	-0.7609
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	98931133	103851221	2873	0.0179
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	103860373	103860604	4	-1.4641
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	103861049	104587153	550	0.0245
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	104588432	104588453	2	1.5754
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	104589281	177198449	47730	0.0063
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	177227551	177260330	6	1.6408
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A10_871076	5	177265980	177386313	18	0.069
