Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	61735	228706	18	0.3268
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	228729	949608	72	-0.3311
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	962670	1035979	13	0.4263
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	1039098	1214189	66	0.1562
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	1217058	1506098	56	0.8996
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	1510801	2454930	267	1.1468
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	2455633	2468065	13	0.7531
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	2468400	2770458	56	1.045
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	2775182	3076409	127	0.8371
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	3080019	3237745	92	-0.1249
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	3241135	3343141	60	0.7364
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	3344215	3823268	245	-0.13
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	3997197	4265557	173	1.1565
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	4267026	4677535	420	0.4458
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	4679563	4775445	90	1.02
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	4777627	4780750	3	1.8774
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	4781151	4841980	61	1.1368
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	4844823	5245818	350	0.7114
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	5246626	5247355	3	-0.4471
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	5250497	5679441	350	0.6517
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D02_755896	1	5680231	7144793	851	0.3759
