Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	61735	625470	34	-0.1485
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	707099	5986484	2732	-0.6625
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	5988926	5989273	2	-3.1898
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	5989929	9469089	1995	-0.6401
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	9474426	9672689	80	-0.0394
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	9673046	27588380	10074	-0.6364
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	27591017	27797219	81	-0.0263
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	27800482	28879912	463	-0.5663
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	28881990	53681864	13792	0.3888
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	53692665	53723906	23	-0.0619
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	53724759	54714821	648	0.3781
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	54716823	64837281	7582	0.0159
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	64842727	64851545	4	-1.944
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	64854605	66750764	1495	0.0131
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	66757027	66974214	176	0.4276
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	66979672	72759212	3768	0.0556
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	72759509	72809372	47	0.4811
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	72809431	85980350	8625	0.0298
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	85988564	86002735	9	1.2755
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	86003166	106013376	12403	0.0394
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	106019205	106022375	17	0.7555
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	106024055	110232974	2669	0.0251
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	110233037	110242953	17	-1.1718
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	110244998	113295817	2386	0.0184
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	113297497	113501475	118	0.3836
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	113501569	144008375	4668	0.0306
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	144008586	144897697	95	0.7826
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	144901750	144904397	9	1.8302
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	144904623	145257434	153	0.9229
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	145264042	147844790	874	1.4361
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	147929336	149521846	223	1.0226
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	149545372	149664041	12	-0.1715
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	149676317	149732625	15	0.82
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	149732729	152555706	1471	1.4247
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	152555767	152586238	30	2.2538
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	152586278	152759678	175	1.3928
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	152761923	152767482	22	-1.3099
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	152767503	152768700	15	-2.4676
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	152773905	154427338	945	1.3228
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	154429945	156607459	1053	0.3921
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	156612932	157039400	207	0.7672
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	157039437	157447218	272	1.097
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	157452142	157755209	255	0.801
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	157759711	158185244	324	1.12
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	158186036	158850573	562	0.8105
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	158852520	159602424	482	1.27
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	159602473	160568606	652	0.8056
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	160568692	160658962	76	1.2785
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	160660274	160705619	46	1.6906
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	160710243	163510742	2028	1.3091
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	163511425	163516405	4	0.1381
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	163516517	166911149	2673	1.3004
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	166913992	168895513	1487	0.3968
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	168895653	169216937	279	1.1879
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	169233974	169241766	7	1.9472
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	169242401	169751903	390	1.1827
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	169752568	179323738	6231	0.3922
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	179330528	179339262	6	-0.7053
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	179339334	188545603	6151	0.3892
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	188550068	196714822	5426	0.6902
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	196714873	196732086	5	0.0977
CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_D09_1039524	1	196738623	196758159	35	-0.5431
