Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	61735	98588	16	-0.6746
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	98602	16149343	8394	-0.0115
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16149915	16167855	15	0.4477
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16170460	16794147	271	-0.0456
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16794270	16895627	31	0.1599
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16896821	16921719	4	-0.2407
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16923012	16968125	21	0.3239
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16968134	16970000	7	0.7007
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	16970178	17005776	7	0.3255
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	17005978	17190862	61	-0.0552
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	17195155	17261888	59	-0.4978
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	17262232	25582679	5270	-0.0084
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	25582843	25662005	33	-0.6251
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	25662212	72768418	28848	-0.0123
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	72768498	72811148	47	-1.6527
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	72811904	89475255	10980	0.002
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	89477958	89478205	2	-3.3975
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	89481524	104163499	9107	0.0034
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	104163787	104303403	27	-0.3764
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	104303501	106012754	917	-0.0016
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	106013376	106022375	18	0.4838
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	106024055	108542342	1788	0.0095
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	108545066	108565591	9	-0.7198
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	108567998	110224384	858	-0.0058
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	110224427	110246126	34	-0.7674
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	110246130	112690248	1955	0.004
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	112690326	112697390	26	-0.473
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	112705956	121335728	5179	0.0015
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	121338948	148575561	1159	0.2956
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	148585337	148627842	4	-1.2544
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	148636769	152555527	1698	0.2741
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	152555706	152586238	31	1.3303
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	152586278	152757690	174	0.2793
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	152759678	152767963	32	0.6343
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	152768259	158866573	3629	0.262
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	158868501	158869759	2	-1.4341
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	158874818	169216937	7722	0.2848
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	169233974	169255402	10	-0.2801
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	169256501	196714873	18208	0.2825
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	196727850	196815791	96	0.7996
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	196816730	199107702	1380	0.277
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	199111363	199111426	2	-0.9179
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	199111521	223019903	16404	0.2816
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	223020504	223023769	4	-0.7754
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	223026717	243053057	14323	0.2771
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	243054702	243055897	12	-0.2726
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	243055986	243059774	24	0.4113
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	243062601	243355772	91	0.065
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	243360468	248737447	3549	0.2774
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	248749194	248789692	25	0.6762
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	1	248789873	249224388	153	0.2764
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	2	12784	3188111	2222	-0.0189
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_H01_914246	2	3188304	3198853	19	-0.482
