Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	61735	17114712	8832	0.0259
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	17177045	17276241	67	-0.32
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	17277940	25583341	5268	0.0205
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	25593128	25646689	25	-1.5678
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	25646744	25662005	5	-0.7138
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	25662212	47049049	11575	0.0097
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	47051923	47055339	3	-0.4963
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	47055992	49914123	1806	0.0496
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	49914932	49997863	28	-0.9131
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	49999266	62765049	8566	0.0373
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	62765461	62767968	6	-0.8697
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	62772200	72763370	6863	0.0397
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	72768418	72768916	3	-0.6805
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	72768936	72811148	45	-1.4742
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	72811904	73768780	568	0.0135
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	73769173	73769215	3	-1.0741
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	73775929	76050844	1360	0.024
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	76054763	76054854	2	-2.8627
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	76059509	81888456	3854	0.0407
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	81888602	81888605	2	-1.5562
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	81888667	84901285	2074	0.0395
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	84901637	84905028	3	-1.0197
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	84907370	85979932	757	0.0512
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	85980350	85998036	9	0.5536
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	86002735	95674710	6272	0.0333
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	95676511	95676518	2	-1.1337
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	95680124	106013376	6129	0.0384
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	106019205	106021853	13	0.5526
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	106022090	110221727	2657	0.0358
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	110224384	110242953	33	0.5577
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	110244998	112690326	1955	0.0173
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	112695965	112697012	18	0.4909
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	112697174	113023361	274	0.0435
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	113023980	113027789	5	-1.0922
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	113028271	144008335	4915	0.037
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	144008375	144542773	44	0.6508
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	144545755	144842558	9	0.237
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	144849539	144849552	3	2.6351
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	144865627	148789461	1113	0.7774
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	148789848	149024808	21	-0.0046
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	149036524	149256691	130	-1.8772
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	149259416	149436842	31	-0.3645
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	149521840	149739073	31	0.2316
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	149748542	152555527	1468	0.7766
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	152555706	152586594	35	2.1371
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	152590494	169216937	11552	0.7871
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	169233974	169242401	8	-0.5149
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	169254877	187715854	12225	0.808
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	187717560	187721369	2	-0.9979
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	187724610	196812507	6074	0.8176
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	196812530	196815791	2	-0.7936
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F02_667030	1	196816730	210071062	8821	0.7904
