Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	61735	15668210	8109	-0.0764
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	15668276	15668319	2	-2.3887
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	15668815	16846035	583	-0.0461
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	16851514	16970359	42	-0.4732
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	16970392	17012456	16	0.1804
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	17012741	17094015	33	-0.3126
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	17094027	17212714	21	0.1267
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	17214822	17303844	73	-0.2505
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	17308158	17329637	7	-0.548
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	17330149	31175624	8016	-0.0452
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	31175676	31262005	57	-0.386
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	31262837	72768916	25929	-0.0392
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	72768936	72811148	45	-1.5278
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	72811904	106013376	20970	-0.0286
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	106019205	106022375	17	0.6736
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	106024055	110207321	2641	-0.0335
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	110219008	110242953	38	-0.7159
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	110244998	111377368	836	-0.0365
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	111377565	111388226	38	-0.7881
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	111392067	121436219	6263	-0.0414
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	121447136	152555767	2851	0.5671
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	152555795	152586540	31	1.7018
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	152586576	152762667	186	0.6938
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	152762762	152767963	18	1.3372
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	152768259	160318940	4566	0.7403
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	160318984	161011355	482	0.3915
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	161012590	161508875	224	0.7417
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	161517939	161638201	46	1.1259
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	161638480	169216937	6000	0.7495
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	169233974	169242401	8	-0.4334
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	169254877	193155455	15768	0.7622
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	193155512	193156348	7	-0.2288
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	193159723	194448234	941	0.783
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	194451411	194455018	2	-2.2538
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	1	194457016	249224388	37429	0.7563
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	12784	34663929	24017	-0.0384
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	34664750	34737057	51	0.4548
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	34737163	87302107	34999	-0.0324
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	87306948	88225491	210	0.2717
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	88235816	98118212	1852	-0.0087
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	98140747	98161710	8	-1.2472
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	98162189	110848030	7707	-0.0331
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	110854735	111061274	75	0.4722
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	111097151	127842237	10172	-0.0284
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	127842324	127843489	6	-1.1701
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	127848872	132243941	2385	-0.0482
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	132250966	132278640	8	-1.0327
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	132279325	146865094	9112	-0.0281
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	146865183	146866798	15	0.6763
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	146866909	153787485	4192	-0.0304
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	153796068	153800774	5	-1.1169
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	153801268	180061655	16034	-0.0317
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	180067192	180076663	2	-1.9053
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	180079144	211862276	18783	-0.023
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	211862899	211863745	2	-1.9085
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	211864336	213187203	926	-0.0198
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	213187256	213191812	22	-0.9476
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	213191825	239943551	17288	-0.0347
RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_F06_1245256	2	239946935	240024260	46	-0.4229
