Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	61735	17016177	8782	0.0134
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	17016259	17235698	63	0.2676
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	17235852	17262247	44	0.5651
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	17276241	25583341	5272	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	25593128	25646946	27	-1.6174
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	25646986	106013376	49936	0.0012
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	106019205	106022375	17	-1.9202
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	106024055	110227515	2667	-0.0017
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	110232974	110240178	17	-1.1582
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	110242953	152555527	10018	0.0129
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	152555706	152586238	31	-2.1508
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	152586278	161523982	5488	0.0053
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	161595202	161601933	2	-1.4616
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	161604497	166184481	3739	0.0019
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	166184824	166184853	2	-1.8132
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	166185007	167764835	1195	0.0065
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	167766183	167766919	4	-1.1563
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	167768513	174796405	4645	-7e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	174796556	174801854	17	-0.657
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	174801872	178673486	2561	0.0072
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	178673600	178673643	2	-2.4292
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	178673702	189605476	7316	0.0019
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	189605683	189617702	10	-1.0707
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	189618057	195364118	3885	-9e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	195365755	195365897	3	-1.278
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	195369219	196714873	886	-0.026
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	196727850	196823716	100	0.2951
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	196823836	199111363	1373	-0.0021
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	199111426	199113011	7	-1.0984
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	199113840	240391740	28621	5e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	240394015	240394139	6	-2.2186
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	1	240396105	249224388	5930	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	12784	52754468	37184	0.0063
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	52754480	52781542	39	-0.5315
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	52787949	76842314	15549	0.0023
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	76844466	76845426	6	-0.8828
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	76847586	98118212	8517	0.0053
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	98140747	98161710	8	-1.0984
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	98162189	108014281	6317	0.0115
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	108018000	108018694	2	-1.2326
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	108019522	108440736	262	-0.0138
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	108446969	108508052	7	1.1176
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	108520376	237799960	78997	0.0046
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	237800232	237800800	3	-1.385
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	2	237800818	243089456	3106	0.0136
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	60345	75421170	52722	-0.0028
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	75427107	75516091	41	-3.3245
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	75527182	75638741	31	-1.2795
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	75639507	89670015	7878	-7e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	89671333	89674140	8	-0.9232
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	89678599	98937784	3116	-0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	98944458	98949314	37	-0.7692
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	98949421	129786753	18756	0.0012
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	129787021	129794970	33	-0.6813
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	129795092	167113205	22864	0.002
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	167114799	167115097	3	-1.4334
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	167117143	192877902	16682	-5e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	192877962	192882903	19	-1.3567
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	192886435	194166851	852	0.0191
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194169931	194173312	3	-0.793
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194173323	194551388	242	0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194551774	194554814	4	0.6205
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194554885	194624183	51	0.014
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194625291	194625434	3	-0.9069
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	194629051	195285664	330	0.0303
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	195285898	195474763	48	-0.4345
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	3	195478694	197896118	1171	0.0234
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	12281	66719	58	0.0071
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	68821	121562	37	0.4894
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	134837	9456977	5156	0.012
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	9461230	9464972	3	-1.1532
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	9470734	10210390	552	0.0077
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	10214160	10234266	31	-1.9946
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	10234608	34786500	16999	0.0047
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	34786955	34829949	41	-0.3244
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	34830004	49216631	8980	-0.0015
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	49267784	49291355	4	1.2402
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	49297220	63669936	7035	-0.0011
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	63670069	63671662	7	-2.0387
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	63679630	64693940	556	-0.0274
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	64697469	64705528	15	-1.3841
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	64705611	64705785	5	0.1634
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	64707581	64708258	8	-3.2259
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	64716431	66565801	1185	0.0017
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	66567056	66567198	3	-1.5621
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	66568768	70127644	2090	-0.0083
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	70127652	70239096	57	-0.5366
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	70239981	115175323	27357	0.0022
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	115175344	115182175	22	0.6953
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	115184229	138092239	13258	-0.0029
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	138092420	138093414	14	-2.8515
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	138094958	151868941	8399	4e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	151876309	151884306	26	0.3578
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	151884310	161874000	6341	0.0022
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	161880018	161884958	23	-0.7744
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	161884967	172369346	6677	-3e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	172374884	172377776	12	-1.0105
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	172380371	178597277	3744	3e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	178597377	178597428	4	-0.9122
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	178597776	179514669	652	-0.0423
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	179516852	179517089	4	-1.4539
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_C01_1320366	4	179517275	191027923	8129	0.0065
