Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	61735	16909609	8713	0.0012
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	16921719	17005978	37	0.3875
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	17011450	17190862	60	-0.125
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	17195155	17262232	60	-0.3971
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	17262247	72746567	34083	0.0089
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	72746581	72817021	64	0.3153
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	72818599	104221531	20051	0.0055
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	104221631	104268222	23	0.6693
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	104303403	110227515	3600	0.0088
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	110232974	110246278	23	-0.9077
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	110246281	149024808	8336	0.0031
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	149036524	149242663	109	-0.678
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	149242725	152759678	1755	-0.0106
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	152761923	152778443	40	-0.3839
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	152778526	196749821	29518	0.0022
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	196749835	196816730	69	-0.3121
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	196823317	196905159	64	-1.0134
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140	1	196909645	210071062	8735	0.007
