Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	61735	229075	20	0.0342
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	229158	229619	3	-1.4315
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	229677	718663	14	0.3476
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	723317	25596405	14001	-0.0986
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	25600305	25663344	29	0.496
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	25673154	36627542	5606	0.0632
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	36627915	36628151	4	-1.6146
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	36628491	72763370	22913	0.0539
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	72768418	72810938	45	0.465
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	72811076	106013376	20796	0.0623
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	106019205	106022375	17	0.8427
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	106024055	109494147	2293	0.058
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	109496854	109504912	17	-0.8517
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	109508888	110232974	340	0.065
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	110233037	110240178	15	0.9852
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	110242953	111377575	829	0.0763
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	111378895	111383381	24	-0.6944
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	111383434	144081043	6273	0.0666
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	144471986	152555795	2785	0.4768
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	152555884	152573086	17	-0.139
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	152573205	155180466	1539	0.3923
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	155189160	155201064	11	1.6085
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	155211667	155656969	202	0.3564
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	155661227	155663357	3	-3.1268
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	155666961	157625919	1074	0.3839
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	157626145	157626153	2	-1.5606
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	157628355	166548373	6544	0.3879
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	166552201	166552760	5	-0.8139
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	166553095	179323738	8585	0.3889
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	179330528	179333315	4	-1.6024
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	179339206	190817544	7576	0.3841
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	190818105	190819820	5	-0.864
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	190819891	196714873	3878	0.3826
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	196727850	196758159	39	-1.5737
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	196759274	196798643	33	-0.5602
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	196798664	196801655	15	-1.311
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	196801784	207840776	6893	0.384
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	207843968	207844342	2	-1.2865
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	207849725	210598837	2174	0.4066
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	210604746	210615292	25	-0.1992
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	210615293	229811169	12564	0.39
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	229816856	229820130	2	-2.4373
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	229820196	236203255	4667	0.3914
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	236203280	236205440	3	-0.9776
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	236206080	248163188	8758	0.3782
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	248165702	248171576	2	-1.2826
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	248173453	248709670	283	0.339
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	248713868	248795289	35	-0.7738
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	1	248795852	249224388	147	0.3985
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	12784	34346	13	-0.2141
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	36862	737505	503	0.1164
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	742100	747161	2	-1.7981
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	751300	1231315	298	0.1151
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	1231592	1238659	4	-1.456
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	1244964	18163569	12600	0.1375
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	18173675	18193188	47	-0.6414
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	18193198	34685280	10388	0.1421
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	34691069	34737163	48	0.5608
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	34737556	35975973	871	0.1212
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	35977790	35987947	7	-1.4651
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	35997473	36332223	265	0.1615
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	36332258	36336962	14	0.8022
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	36337110	38467279	1700	0.1473
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	38469035	38469133	2	-1.5652
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	38469908	52739180	10017	0.1311
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	52739217	52781542	43	0.6917
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	52787949	67758755	9697	0.1402
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	67760955	67765892	5	-0.9326
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	67768512	71346563	2412	0.1397
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	71346617	71346825	5	-1.1944
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	71347392	98154265	11717	0.1178
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	98157272	98162189	4	-1.59
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	98166878	106881633	5532	-0.0973
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	106883229	106884834	5	-2.4846
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	106884979	127842237	12282	-0.0932
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	127842324	127862269	16	0.4606
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	127865694	132219998	2346	-0.0818
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	132221406	132226368	5	-1.3843
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	132226792	180541743	29519	-0.0881
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	180541782	180542062	2	-2.2168
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	180542288	183281720	1756	-0.0713
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	183283295	183284352	2	-1.8151
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	183292097	203293091	11300	-0.0839
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	203295775	203311713	39	-0.4819
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	203312021	215711631	7739	-0.0786
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	215715707	215716169	2	-2.6525
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	215716232	229075891	8695	-0.0831
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	229076256	229079659	2	-1.9561
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	2	229081572	243089456	8558	-0.08
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	60345	224602	154	0.0557
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	230022	232800	4	-1.3311
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	234877	2654918	2076	0.0839
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	2655205	2655482	2	-4.3064
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	2655924	6317359	3272	0.1009
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	6319263	6331853	17	1.0807
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	6334437	17529545	8098	0.1252
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	17529948	17544013	5	-1.3142
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	17546438	68725751	33647	0.025
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	68732028	68747364	15	0.7175
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	68747413	75415863	4826	-0.112
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	75421170	75685972	86	-0.4836
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	75688286	76141753	207	-0.1535
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_A12_1344832	3	76142136	76255874	61	0.8976
