Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	61735	17190862	8821	0.0886
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	17195155	17284920	66	0.3772
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	17286210	25595881	5266	0.0964
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	25595947	25662005	28	-0.274
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	25662212	76050844	30807	0.0701
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	76054763	76054854	2	-2.5565
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	76059509	104157336	18125	0.0578
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	104158309	104163499	4	-0.927
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	104163787	110232974	3627	0.0643
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	110233037	110240178	16	-0.6439
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	110242953	113451050	2464	0.0817
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	113452613	113456546	2	-1.1008
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	113456560	148585337	5846	0.0839
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	148627569	148636769	4	-1.1077
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	148636891	149243072	148	0.189
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	149243241	149248712	14	0.7683
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	149248727	152555706	1534	0.0878
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152555767	152560883	10	0.4763
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152571169	152571937	4	-0.1958
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152572181	152586117	15	0.5178
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152586238	152762046	180	0.0792
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152762257	152768259	27	0.8523
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	152768281	194448234	28050	0.0646
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	194451411	194455018	2	-2.0442
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	194457016	195832664	873	0.065
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	195836268	195836924	3	-0.8444
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	195837030	199111363	2049	0.062
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	199111426	199113840	8	-1.7199
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	199114238	199542563	304	0.054
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	199542956	199546187	6	-1.7562
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	199546908	202424477	1930	0.0614
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	202430617	202440419	6	-0.7868
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_E04_871032	1	202440661	220945290	12728	0.0682
