Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	61735	82315	10	0.0815
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	82650	86341	5	1.0295
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	98588	10670891	5376	0.0156
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	10671420	10679721	3	-1.5873
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	10681806	12837840	1130	0.022
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	12838744	13187370	49	-0.2176
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	13214448	16806526	2136	0.0279
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	16806925	16968134	48	-0.3187
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	16968199	17114712	69	-0.0886
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	17177045	17299727	78	-0.357
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	17299983	25583341	5259	0.0266
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	25593128	25646946	27	-1.7637
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	25646986	70994840	27713	0.018
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	70997152	70998786	8	-0.7265
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	70999657	72763370	1137	0.0145
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	72768418	72811076	46	-0.3346
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	72811133	104163499	20088	0.0104
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	104163787	104303501	28	-0.3595
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	104303639	107654220	2019	0.0119
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	107655602	107663495	11	-0.8034
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	107665433	110232974	1576	0.0201
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	110233037	110234628	10	0.5044
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	110235032	111370395	839	0.0266
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	111370497	111393505	52	0.2377
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	111393713	112690326	1074	0.0051
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	112695965	112705956	26	0.5175
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	112706060	148662763	6355	0.0177
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F10_734720	1	148747653	149242663	134	-0.5412
