Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	61735	98588	16	-0.9702
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	98602	13187370	6550	-0.0058
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	13214448	13506877	26	-0.4019
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	13538311	16926190	2136	0.0056
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	16926511	17005776	32	-0.3851
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	17005978	17286210	128	0.2271
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	17286319	25583341	5265	-0.0037
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	25593128	25645658	23	-0.5907
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	25646184	72750353	28845	-0.0031
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	72756113	72768916	12	-0.6251
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	72768936	72811133	44	1.1528
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	72811148	89475255	10975	-8e-04
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	89477958	89478205	2	-3.0947
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	89481524	104163499	9105	0.0017
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	104163787	104268222	26	0.7934
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	104303403	106013376	919	0.0052
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	106019205	106022375	17	0.8863
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	106024055	110233118	2671	0.0046
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	110233262	110240178	13	1.1295
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	110242953	152759678	10223	-0.0031
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	152761923	152768700	37	-0.5391
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	152773905	210071062	38455	0.0011
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	210081613	210082065	2	-1.7856
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	1	210083984	249224388	27127	-5e-04
DEVEL_p_TCGAb3_73_74_75_76_NSP_GenomeWideSNP_6_C02_1438356	2	12784	35967385	25030	0.0035
