Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	61735	16830583	8725	0.0095
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	16830820	16970178	44	-0.4171
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	16970311	17109281	56	-0.0555
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	17111296	17114634	5	-1.3153
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	17114712	25583341	5335	9e-04
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	25593128	25646184	24	-1.6044
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	25646689	35102654	4971	0.0023
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	35102670	35104491	19	-0.5834
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	35114268	48881591	7768	-0.0126
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	48884819	48885195	2	-2.3557
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	48885662	60977302	7856	0.0064
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	60983201	60983285	2	-2.3018
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	60983620	104157161	28375	0.0022
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	104157317	104303403	33	-0.6699
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	104303501	110227515	3604	-0.0088
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	110232974	110240178	17	0.5955
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	110242953	144045200	7190	-0.003
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	144045248	152555527	2830	0.6566
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	152555706	152586594	35	1.7512
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	152590494	152761923	172	0.688
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	152761939	152768700	36	1.1525
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	152773905	189648157	24812	0.7042
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	189648483	189648527	2	-2.7147
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	189652047	196812507	4839	0.7228
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	196812530	196816730	3	-0.7475
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	196823317	223631609	18152	0.7082
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	223631702	223633353	2	-1.5847
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	223633385	229811169	3737	0.6957
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	229816856	229820196	3	-2.6937
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	1	229820456	249224388	14065	0.7185
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	12784	18173675	13561	0.0062
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	18173841	18206194	54	0.4925
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	18206219	34691069	10499	0.0037
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	34699315	34737163	47	0.5983
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	34737556	87128201	35095	-0.0051
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	87129203	87137385	2	-2.0965
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	87161853	97876200	2048	0.0028
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	97876273	97876806	2	-2.1355
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	97877001	106146307	4964	-0.0122
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	106146375	106152104	2	-2.0949
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	106152252	199861714	56518	-0.0073
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	199862392	199864173	2	-2.747
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	2	199866136	243089456	27281	5e-04
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	60345	47057868	33397	-0.003
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	47058424	50092239	1133	-0.6601
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	50093323	68747012	13340	0.0146
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	68747243	68747413	5	-1.2326
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	68748758	75568549	4935	0.0083
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	75572549	75586805	5	-2.2235
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	75595181	98937784	11009	-0.003
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	98944458	98949301	35	-0.5869
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	98949308	131706617	19981	-0.0025
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	131706696	131708471	3	-1.8132
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	131714999	142554789	6600	0.0118
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	142554993	142563368	6	-1.0353
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C12_666880	3	142564507	148962976	4139	-0.0148
