Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	61735	10365286	5197	-0.3731
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	10366712	10383798	34	0.0809
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	10383886	12859399	1308	-0.4174
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	12859413	12862257	5	0.7448
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	12862261	16147081	1872	-0.3536
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	16147181	16167780	20	0.3883
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	16167799	17017078	361	-0.4064
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17017530	17082591	21	-1.3952
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17087292	17109281	10	-0.4046
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17111296	17114634	5	-1.5042
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17114712	17217907	16	-0.403
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17224970	17330149	76	-0.0262
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	17336877	25583341	5246	-0.3987
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	25593128	25646184	24	-1.3427
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	25646689	72768916	28866	-0.3848
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	72768936	72779080	9	-2.1252
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	72779091	72859407	63	-0.7913
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	72859809	112690326	25669	-0.3962
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	112695965	112697390	25	0.4008
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	112705956	121436219	5186	-0.3814
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	121447136	144887459	82	0.3005
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	144887753	144904397	28	0.773
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	144904623	145264042	154	0.3313
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	145266469	148662763	909	0.8009
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	148747653	148789864	4	-0.5128
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	148789983	149436842	182	0.8376
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	149521840	149691746	19	0.0753
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	149692388	152555176	1478	0.7552
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	152555527	152586576	35	1.7855
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E11_628412	1	152586594	158866573	3833	0.724
