Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	61735	17005776	8771	0.0067
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	17005978	17048479	36	0.3956
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	17056457	17182437	23	-0.2095
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	17190004	17330149	88	0.2652
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	17336877	22319001	3323	0.0023
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	22320515	22330539	6	-6.3182
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	22337243	22338125	2	-2.4008
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	22342389	25602867	1922	-0.0055
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	25602931	25661501	20	0.4574
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	25662005	72768498	28860	0.0023
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	72768916	72811148	46	-1.4622
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	72811904	106013376	21031	-0.0024
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	106019205	106022375	17	-2.1332
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	106024055	110227515	2668	-0.0073
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	110232974	110240178	17	1.2155
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	110242953	112107669	1466	-0.0164
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	112108175	112108322	2	1.2808
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	112112052	112690326	488	-0.0195
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	112695965	112697390	25	-1.7468
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	112705956	147829226	6322	-0.0025
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	147831183	148937905	53	-0.3129
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	148947710	149521846	171	0.1141
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	149545372	149548726	4	1.0746
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	149578722	152555706	1491	0.0094
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	152555767	152586238	30	-1.7861
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	152586278	152754630	166	-0.0118
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	152756308	152778526	48	0.3299
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	152778558	158866573	3620	-0.0033
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	158868501	158869759	2	-1.6192
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	158874818	174796405	11254	-0.0022
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	174796556	174801737	15	-0.7345
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	174801840	189807758	10059	-2e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	189807771	189807842	3	-1.1875
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	189809374	196758120	4636	-0.0036
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	196758149	196759288	4	-1.5455
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	196761820	214003718	11465	3e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	214007190	214011905	3	-1.3924
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	1	214014136	249224388	24542	0.0021
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	12784	34520473	24016	-0.002
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	34523978	34525580	2	-2.3078
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	34525967	34691069	95	0.0071
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	34699315	34727867	44	0.3879
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	34736513	37586246	2167	0.0042
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	37592359	37597808	3	-1.3943
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	37598421	52754561	10882	-0.008
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	52754728	52754881	3	-1.9401
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	52758753	87373893	22062	-5e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	87374951	87951710	177	0.3372
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	87955850	97854159	1836	-0.0063
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	97857927	97877173	16	-0.6243
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	97886334	106880095	5613	-0.0017
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	106880713	106885357	11	-2.1912
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	106887255	123477014	9555	-0.0042
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	123479899	123482241	9	-1.7183
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	123483653	129638478	3892	-0.007
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	129638502	129640315	14	-0.6434
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	129640329	130795379	879	0.0042
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	130817339	130826342	9	-0.893
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	130849237	133100962	740	-0.0197
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	133101442	133103441	2	-1.9038
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	133108026	163934651	19040	-0.0022
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	163937989	163938173	2	-1.6566
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	163938285	178431399	9136	-0.0028
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	178434544	178435127	2	-2.5375
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	178435150	211618187	19671	-0.0011
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	211618242	211630283	7	-0.7918
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	2	211630731	243089456	20171	0.0023
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	60345	224602	157	0.0054
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	230022	232639	3	-3.5823
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	232800	2276570	1809	-0.0041
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	2277951	2293801	16	-1.2116
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	2298210	31502960	21625	3e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	31503032	31503397	2	-1.8013
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	31503419	53023211	12186	-0.005
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	53028375	53039116	37	-0.705
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	53039217	68746164	12036	-0.0018
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	68746259	68747413	14	-1.5589
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	68748758	162532950	55097	-0.0017
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	162534730	162540473	5	1.8721
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	162540490	162625995	49	-0.3426
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	162626572	189360754	16686	-0.0037
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	189363678	189370988	12	-0.9518
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	189371014	190342505	749	-0.0019
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	190345518	190346525	3	-1.2894
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	190349480	192803259	1680	0.0026
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	192803962	192811289	4	-0.9204
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	192811405	195285898	1565	0.0035
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	195383142	195455508	29	0.7813
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	3	195455861	197896118	1190	-0.0032
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	12281	65761	56	-0.3507
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	65978	4113921	1649	0.0095
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	4118957	4119686	2	-1.3113
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	4122828	9464972	3545	7e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	9470734	9479206	5	-1.284
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	9479345	10209946	541	-2e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	10209963	10210390	6	-0.7279
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	10223416	10231498	28	-1.8813
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	10234214	34786955	17003	-0.0015
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	34786990	34829913	38	0.3011
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	34829928	63669936	16022	-0.0024
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	63670069	63671662	7	-0.9048
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	63679630	69261064	3447	-0.0013
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69282205	69288142	5	-1.4577
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69294799	69372003	16	0.0496
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69374941	69396466	12	-2.1196
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69410224	69413943	8	-0.4324
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69420023	69485979	45	-1.6402
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	69489335	115173700	27746	-0.0029
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	115175323	115182175	23	-1.4347
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	115184229	122857028	4725	-0.0047
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	122857568	122857929	2	-1.5452
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	122862610	140229007	10082	-0.004
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	140232546	140238360	6	-0.9835
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	140239695	156968180	10163	-3e-04
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	156968283	156968298	2	-1.6001
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	156968473	161863893	3053	0.0051
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	161864128	161931652	86	0.3613
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	161931896	172369346	6637	-0.0029
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	172374884	172377710	10	0.887
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	172377724	180942572	5379	0.0019
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	180942678	180942826	3	-1.19
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	180946934	189221258	5973	0.0096
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	189221360	189221424	3	1.5513
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	4	189221439	191027923	1178	-0.01
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	15532	19396253	14582	0.0028
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	19401451	19409087	8	-0.74
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	19412474	21376844	1146	-0.0033
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	21377839	21377853	2	-2.4527
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	21386066	46191884	15058	-0.0026
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	46195883	46199435	4	-1.3361
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	46209299	46271108	15	0.1076
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_B04_955178	5	46271930	46313347	8	0.8795
