Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	61735	3004357	666	-0.1015
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	3009969	3010586	2	-2.1474
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	3025712	12859413	5829	-0.0019
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	12862241	12882985	21	-0.5189
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	12883096	12927107	10	0.0951
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	12927856	13444682	27	-0.5189
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	13444908	16149915	1815	0.0038
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	16153497	16153925	6	-2.0725
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	16154201	104163499	54531	0.0103
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	104163787	104303403	27	-0.5763
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	104303501	106019310	921	0.0181
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	106019370	106022375	14	0.6115
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	106024055	112690211	4629	0.0052
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	112690248	112697376	26	-0.4085
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	112697390	152762990	8241	0.0674
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	152763040	152768570	18	-0.4068
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	152768700	161497320	5259	0.202
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G08_735052	1	161501857	161618820	31	-0.5321
