Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DLP_REDO_FROM_SWEDE_A04	1	61735	17114712	8823	-0.0043
DLP_REDO_FROM_SWEDE_A04	1	17177045	17262247	66	0.4714
DLP_REDO_FROM_SWEDE_A04	1	17276241	39132431	12475	-0.0218
DLP_REDO_FROM_SWEDE_A04	1	39132432	39132433	2	1.5639
DLP_REDO_FROM_SWEDE_A04	1	39132462	60739301	13272	-0.0065
DLP_REDO_FROM_SWEDE_A04	1	60745693	60746325	3	-0.8394
DLP_REDO_FROM_SWEDE_A04	1	60748252	69256945	6223	-0.015
DLP_REDO_FROM_SWEDE_A04	1	69257297	69265453	4	-0.9701
DLP_REDO_FROM_SWEDE_A04	1	69265983	72784154	2158	-0.0312
DLP_REDO_FROM_SWEDE_A04	1	72784170	72808768	24	0.6384
DLP_REDO_FROM_SWEDE_A04	1	72809372	85477376	8274	-0.003
DLP_REDO_FROM_SWEDE_A04	1	85483881	85808325	216	0.3402
DLP_REDO_FROM_SWEDE_A04	1	85814578	95126701	5947	-0.0282
DLP_REDO_FROM_SWEDE_A04	1	95130678	95152850	59	-1.082
DLP_REDO_FROM_SWEDE_A04	1	95155385	110227515	9198	-0.0299
DLP_REDO_FROM_SWEDE_A04	1	110232974	110242953	18	1.1295
DLP_REDO_FROM_SWEDE_A04	1	110244998	144081043	7198	-0.0162
DLP_REDO_FROM_SWEDE_A04	1	144471986	144472001	2	3.6929
DLP_REDO_FROM_SWEDE_A04	1	144527147	152560541	2819	-0.0078
DLP_REDO_FROM_SWEDE_A04	1	152560868	152560883	2	-3.0959
DLP_REDO_FROM_SWEDE_A04	1	152571169	155656969	1786	0.0072
DLP_REDO_FROM_SWEDE_A04	1	155661227	155663357	3	-1.2116
DLP_REDO_FROM_SWEDE_A04	1	155666961	155953820	122	-0.0171
DLP_REDO_FROM_SWEDE_A04	1	155955046	156140286	69	0.2651
DLP_REDO_FROM_SWEDE_A04	1	156140932	174796556	13097	-0.0189
DLP_REDO_FROM_SWEDE_A04	1	174796699	174801854	16	-1.0436
DLP_REDO_FROM_SWEDE_A04	1	174801872	196789044	14707	-0.0228
DLP_REDO_FROM_SWEDE_A04	1	196789057	196884185	99	-0.7393
DLP_REDO_FROM_SWEDE_A04	1	196885685	196901753	8	-2.0346
DLP_REDO_FROM_SWEDE_A04	1	196905159	240391740	29902	-0.0322
DLP_REDO_FROM_SWEDE_A04	1	240394015	240394139	6	-2.6932
DLP_REDO_FROM_SWEDE_A04	1	240396105	248737447	5748	-0.0141
DLP_REDO_FROM_SWEDE_A04	1	248749194	248797213	33	-1.0162
DLP_REDO_FROM_SWEDE_A04	1	248805339	249224388	145	-0.0695
DLP_REDO_FROM_SWEDE_A04	2	12784	1238079	825	0.1503
DLP_REDO_FROM_SWEDE_A04	2	1238659	1244964	2	-2.9224
DLP_REDO_FROM_SWEDE_A04	2	1252110	4911602	2778	0.1497
DLP_REDO_FROM_SWEDE_A04	2	4913643	4915059	8	-1.293
DLP_REDO_FROM_SWEDE_A04	2	4915899	15636501	8110	0.0416
DLP_REDO_FROM_SWEDE_A04	2	15638511	25443329	6660	0.3262
DLP_REDO_FROM_SWEDE_A04	2	25461567	25636597	87	0.5785
DLP_REDO_FROM_SWEDE_A04	2	25638619	29641200	2179	0.3053
DLP_REDO_FROM_SWEDE_A04	2	29641874	29646424	12	-0.1818
DLP_REDO_FROM_SWEDE_A04	2	29648555	34717974	3462	0.5534
DLP_REDO_FROM_SWEDE_A04	2	34717988	34737057	16	1.2335
DLP_REDO_FROM_SWEDE_A04	2	34737163	35975973	877	0.5112
DLP_REDO_FROM_SWEDE_A04	2	35977790	35987916	6	-2.214
DLP_REDO_FROM_SWEDE_A04	2	35987947	38258827	1804	0.5503
DLP_REDO_FROM_SWEDE_A04	2	38260282	38541978	265	0.9175
DLP_REDO_FROM_SWEDE_A04	2	38542523	68314671	20365	0.3064
DLP_REDO_FROM_SWEDE_A04	2	68315068	68573701	175	0.5954
DLP_REDO_FROM_SWEDE_A04	2	68577132	73324514	2889	0.2972
DLP_REDO_FROM_SWEDE_A04	2	73326527	73571417	98	0.6977
DLP_REDO_FROM_SWEDE_A04	2	73572655	74595014	569	0.3014
DLP_REDO_FROM_SWEDE_A04	2	74595483	74596310	2	-1.2645
DLP_REDO_FROM_SWEDE_A04	2	74596325	81810572	4976	0.2951
DLP_REDO_FROM_SWEDE_A04	2	81812181	81816294	10	-0.5359
DLP_REDO_FROM_SWEDE_A04	2	81817139	92286207	4199	0.2878
DLP_REDO_FROM_SWEDE_A04	2	92288268	106874649	6488	-0.013
DLP_REDO_FROM_SWEDE_A04	2	106874722	106887255	14	0.702
DLP_REDO_FROM_SWEDE_A04	2	106887408	108440736	993	0.0402
DLP_REDO_FROM_SWEDE_A04	2	108446969	108480907	2	1.5052
DLP_REDO_FROM_SWEDE_A04	2	108492088	113884019	2644	-0.0128
DLP_REDO_FROM_SWEDE_A04	2	113885768	113888579	12	0.5009
DLP_REDO_FROM_SWEDE_A04	2	113889006	117585649	2132	-0.0421
DLP_REDO_FROM_SWEDE_A04	2	117588586	117589853	3	-1.5765
DLP_REDO_FROM_SWEDE_A04	2	117591245	146861404	18133	-0.0372
DLP_REDO_FROM_SWEDE_A04	2	146861446	146866934	26	0.5321
DLP_REDO_FROM_SWEDE_A04	2	146877806	167930666	12468	-0.046
DLP_REDO_FROM_SWEDE_A04	2	167944952	167949508	7	-1.127
DLP_REDO_FROM_SWEDE_A04	2	167959087	179192859	7308	-0.0476
DLP_REDO_FROM_SWEDE_A04	2	179193203	194560260	9022	0.2792
DLP_REDO_FROM_SWEDE_A04	2	194568266	194568323	2	-1.4523
DLP_REDO_FROM_SWEDE_A04	2	194569722	195314270	377	0.2785
DLP_REDO_FROM_SWEDE_A04	2	195314722	195325844	8	-1.0768
DLP_REDO_FROM_SWEDE_A04	2	195330252	203292959	4600	0.2808
DLP_REDO_FROM_SWEDE_A04	2	203293012	203312201	43	-0.4938
DLP_REDO_FROM_SWEDE_A04	2	203313482	208350191	3121	0.2663
DLP_REDO_FROM_SWEDE_A04	2	208350247	208350262	2	-2.0479
DLP_REDO_FROM_SWEDE_A04	2	208350319	210102233	1114	0.2802
DLP_REDO_FROM_SWEDE_A04	2	210105100	210112390	3	-1.3282
