Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	61735	13187370	6559	-0.373
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	13214448	13375345	2	-2.5883
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	13375401	16153497	1841	-0.3577
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	16153536	16153925	5	-1.9258
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	16154201	16154239	2	0.4885
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	16154966	17011560	350	-0.3632
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	17011669	17017078	15	0.1197
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	17017530	17048479	17	-0.9901
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	17056457	72750353	34204	-0.3864
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	72756113	72763370	9	-1.5393
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	72768418	72816755	51	-0.0246
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	72817021	106013376	21022	-0.4311
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	106019205	106022375	17	-2.2398
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	106024055	110227500	2666	-0.4094
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	110227515	110242953	19	1.4934
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	110244998	112690211	1950	-0.396
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	112690248	112705956	28	0.3318
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	112706060	121482979	5181	-0.3984
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	144007049	152555527	2855	0.3045
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	152555706	152586238	31	0.8768
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	152586278	158866573	3835	0.3401
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	158868501	158869759	2	-1.0381
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	158874818	169216937	7722	0.5501
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	169233974	169241766	7	1.3329
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	169242401	196714873	18216	0.546
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196727850	196771280	47	-1.167
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196783626	196790958	21	0.3461
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196791026	196798664	5	-0.4045
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196798705	196812507	21	0.4559
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196812530	196901753	66	1.1264
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	196905159	206329939	6030	0.5788
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	206496641	206580038	7	-0.0277
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	206581203	229811169	15796	0.5592
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_E02_914256	1	229816856	229820196	3	-2.9755
