Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	61735	98588	16	0.8631
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	98602	8176626	4041	-0.0054
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	8182588	8189285	9	-1.1599
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	8191792	17005978	4710	0.0039
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	17011450	17012741	12	0.8801
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	17012785	25583341	5382	-0.0035
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	25593128	25611452	14	-0.9398
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	25616296	65593507	24088	-0.0033
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	65594282	65594324	2	-2.4935
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	65596239	72768916	4773	-0.0045
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	72768936	72811148	45	-1.913
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	72811904	100793039	18038	-0.003
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	100793131	100794421	5	-2.0167
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	100795884	104159384	2042	-0.0048
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	104163499	104225557	13	-0.7016
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	104225568	104260239	12	-0.3477
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	104261206	110227515	3606	0.0013
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	110232974	110240178	16	0.9321
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	110242953	120280408	6863	5e-04
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	120280554	120280734	2	-1.527
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	120285546	144081043	347	-0.0267
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	144471986	144849552	18	0.7872
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	144865627	144982759	75	0.0037
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	144986538	145079996	41	-0.3702
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	145080051	149429206	1181	0.0142
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	149436842	149617451	9	-1.0209
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	149617488	155180466	3075	0.0187
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	155189160	155201064	11	2.0724
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	155211667	166548373	7929	-0.0073
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	166552201	166553095	6	-1.0088
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	166553495	170167111	2747	0.0058
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	170171083	170171546	3	-1.1075
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	170171795	174796405	2837	-4e-04
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	174796556	174801840	16	-0.8066
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	174801854	179330528	3080	-0.0027
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	179331382	179333315	3	-1.4801
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	179339206	229820531	33570	-0.0036
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	229820954	229822129	9	-0.8782
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	229827233	234360463	3569	-0.003
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	234361244	234361365	2	-1.7559
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	1	234363933	249224388	10481	0.0014
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	2	12784	6300687	4700	0.0067
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	2	6303232	6304274	9	-0.917
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	2	6305429	34717112	19431	0.0096
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	2	34717128	34737057	24	0.4936
SWEDE_p_TCGAb322_23_24_25_26NSP_GenomeWideSNP_6_A01_1364972	2	34737163	35968036	877	0.0097
