Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	61735	16149915	8418	0.0402
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	16153497	16155010	10	-1.3429
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	16165661	16943613	319	0.0397
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	16943638	16968211	15	0.4306
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	16968374	17016880	29	0.1221
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	17017078	17094066	29	0.7134
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	17100230	21736327	3089	0.0434
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	21737466	21809752	30	-0.2819
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	21810508	25583341	2226	0.0246
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	25593128	25646946	27	-1.7566
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	25646986	30738504	2404	0.0171
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	30738534	30739356	3	-1.2803
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	30739796	35091674	2564	0.0239
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	35102654	35104491	20	-0.6607
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	35114268	76050844	25850	0.0118
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	76054763	76054854	2	-2.4326
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	76059509	106019205	19112	-0.0053
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	106019236	106022375	16	0.8124
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	106024055	108900763	2015	0.0041
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	108901366	108910017	3	-0.9837
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	108910745	110226743	648	-0.0132
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	110226970	110242953	23	-0.6108
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	110244998	112690326	1956	-0.0032
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	112695965	112697241	23	0.4682
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	112697376	144471986	5232	0.009
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	144472001	152555706	2814	0.4238
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	152555767	152586576	33	-1.8831
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	152586594	152759678	172	0.4445
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H07_1151588	1	152761923	152768700	37	-0.2198
