Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	61735	62937	6	0.1935
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	72704	228706	12	0.8512
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	228729	12837840	6504	0.032
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	12838744	13717824	91	0.4317
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	13724101	16153497	1803	0.0163
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	16153536	16153925	5	-2.1954
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	16154201	16886193	308	0.014
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	16888067	17224970	113	0.3378
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	17225225	25583341	5323	0.0169
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	25593128	25662212	31	0.7797
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	25663310	27379471	736	0.0294
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	27379950	27384989	7	0.5765
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	27387685	27806562	154	0.0175
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	27807618	27835609	12	0.479
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	27838650	32893553	2686	0.0265
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	32894381	32900848	3	1.1269
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	32901240	62114006	17877	0.017
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	62114181	62118187	3	-1.1936
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	62119809	72750353	7371	0.0136
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	72756113	72763370	9	-1.0843
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	72768418	72811148	48	1.2766
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	72811904	77256966	2885	0.0062
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	77257324	77257353	2	-1.6677
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	77257375	104163787	17199	0.0142
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	104178038	104225547	10	0.9726
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	104225557	104239986	4	1.7651
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	104256880	104268222	11	0.775
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	104303403	106013376	920	0.002
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	106019205	106049333	45	-0.2888
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	106049388	110224384	2627	0.0069
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	110224427	110242953	32	1.1403
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	110244998	144546946	7218	0.023
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	144549929	144868360	12	0.8502
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	144869084	148789864	1113	0.0695
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	148789983	149739073	214	0.7878
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	149748542	152553026	1464	0.0341
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	152555176	152586238	33	-0.5984
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	152586278	192034912	26573	0.0142
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	192036732	192059386	21	-0.4282
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	192060662	196711187	3177	0.0062
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	196714822	196789001	53	0.3673
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	196789044	223020504	17827	0.0101
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	223022923	223023769	3	-2.1097
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	223026717	228534850	3311	0.0189
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	228535364	228585837	19	0.4237
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	228591085	240192359	8725	0.0154
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	240197007	240200578	4	-1.0393
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	240204140	242147667	1563	0.0236
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	242148020	242152459	2	1.1094
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	242152832	243053057	693	0.0184
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243054702	243055897	12	0.4584
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243055986	243058867	8	-0.0052
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243058964	243059754	12	0.5424
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243059760	243124511	38	-0.1035
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243129352	243228147	21	0.6802
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	243258063	245636410	1541	0.0118
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	245637039	245646904	10	-5.9544
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	1	245649651	249224388	2211	0.0396
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	12784	4203580	2988	0.0423
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	4205687	4223695	40	0.3715
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	4223725	34701394	21092	0.0158
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	34701583	34737057	44	-1.6913
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	34737163	52754468	13042	0.0104
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	52754480	52781542	39	-2.1846
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	52787949	57414358	3398	0.0213
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	57414541	57414741	2	1.5921
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	57414753	89164224	19339	0.0177
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	89166638	89176223	2	1.2147
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	89176463	90248524	295	0.2124
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	90248784	95334806	145	0.4752
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	95341388	97834082	854	0.0454
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	97834120	98179580	66	0.4255
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	98187302	106874722	5570	0.0122
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	106880095	106887408	14	0.8999
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	106887870	118233612	6201	0.0229
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	118235941	118243133	2	1.7285
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	118244990	124063616	3787	0.0243
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	124064076	124077798	12	-0.5514
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	124078333	130780153	4338	0.0091
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	130780247	131042433	69	0.351
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	131046104	131157859	50	0.0395
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	131207769	131477948	13	0.6254
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	131478017	131970795	232	-0.0035
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	131984540	132158447	40	0.3151
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132159934	132226792	61	0.0374
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132229734	132280836	22	0.3484
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132280917	132509119	117	-0.0029
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132509673	132560381	5	0.5887
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132571593	132731650	52	-0.0075
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	132742781	133038729	74	0.4196
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	133046772	146862085	8877	0.0179
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	146864404	146866934	24	0.6914
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	146877806	180061655	20293	0.0198
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	180067192	180076663	2	-1.5635
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	180079144	185257084	3359	0.0169
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	185261364	185261472	5	0.893
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	185261475	186607903	714	0.0085
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	186608339	186610585	3	-1.1532
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	186614062	194687745	4518	0.0175
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	194690304	194693798	2	1.9226
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	194702314	233241734	24028	0.0179
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	233241903	233288266	39	0.3522
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	2	233288749	243089456	6197	0.0217
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938	3	60345	224602	157	-0.034
