Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	61735	86341	15	-0.6839
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	98588	2467655	488	0.2262
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	2468043	2473258	4	-0.7674
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	2482921	5236278	1674	0.106
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	5236770	17076467	6628	-0.1225
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	17082412	17177045	19	-0.4881
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	17177965	25602931	5345	-0.0946
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	25604466	25645658	13	-0.5057
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	25646184	27266660	708	-0.0945
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	27272844	62114006	20778	0.1296
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	62114181	62118187	3	-1.0042
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	62119809	63469503	941	0.1362
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	63471492	63472103	3	-0.9402
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	63472868	71060220	5372	0.1271
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	71060331	71073756	12	-0.2927
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	71073921	72768916	1055	0.1137
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	72768936	72811133	44	-0.897
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	72811148	89475255	10990	0.026
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	89477958	89478205	2	-2.1775
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	89481524	106019205	10059	0.0229
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	106019236	106022375	16	0.7952
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	106024055	108134160	1484	0.0183
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	108137815	108200300	54	0.3079
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	108202710	110232974	1134	0.0322
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	110233037	110240178	16	-0.8598
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	110242953	112690326	1959	0.0505
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	112695965	112696826	13	-0.3613
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H06_755850	1	112696856	149036524	6393	0.071
