Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	61735	72776	8	-0.0811
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	82170	86341	7	-0.4667
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	98588	712545	21	0.2054
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	718663	12837840	6474	-0.4906
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	12838744	13776072	99	-0.1957
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	13776828	16814994	2090	-0.4845
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	16815530	17190862	116	-0.1504
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	17195155	25582843	5324	-0.4882
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	25583291	25646986	30	-1.0347
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	25661501	33873971	4029	-0.4842
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	33880813	33948091	44	-2.1363
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	33951343	35091674	895	-0.4797
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	35102654	35104491	20	-1.4238
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	35114268	62114006	16464	-0.4803
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	62114181	62118187	3	-2.8267
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	62119809	72768916	7374	-0.4775
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	72768936	72811133	44	-1.0161
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	72811148	85974030	8620	-0.482
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	85979932	86003166	12	0.1868
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	86006009	86758589	542	-0.4778
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	86758778	86763077	2	-2.3621
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	86763817	89475255	1798	-0.4996
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	89477958	89478205	2	-2.9032
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	89481524	100601777	6960	-0.4898
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	100603313	100604677	3	-2.0693
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	100605325	106021381	3089	-0.4928
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	106021627	106022375	9	-2.274
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	106024055	108729759	1938	-0.4878
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	108734235	108737496	3	-2.3597
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	108739104	110224384	710	-0.4892
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	110224427	110246281	38	0.5881
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	110250235	111331000	799	-0.502
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	111331645	111388184	72	-0.2663
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	111388226	112690326	1080	-0.502
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	112695965	112697012	18	-1.2592
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	112697174	121355881	5182	-0.4668
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	121436219	148870400	1180	0.5435
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	148870937	149041722	21	0.0503
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	149041806	149202745	74	-0.5724
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	149202798	149644969	95	-0.0216
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	149645033	149701234	10	0.5698
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	149701351	149732625	8	-0.1285
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	149732729	158489459	4969	0.5557
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	158489559	158489777	7	-0.2967
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	158494693	158515085	40	0.2862
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	158516996	167764835	6931	0.5648
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	167766183	167766919	4	-1.0288
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	167768513	194448234	17875	0.5464
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	194451411	194455018	2	1.9233
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	194457016	199107702	2929	0.5474
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	199111363	199113840	9	-0.4267
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	199114238	210071062	7433	0.5666
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	210081613	210082065	2	-1.8078
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	210083984	246497345	25595	0.5571
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	246502246	246562080	30	-0.0383
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218	1	246562235	248876308	1414	0.5389
