Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	61735	16142960	8409	-0.303
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	16147032	16155010	21	0.2867
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	16165661	17261797	464	-0.22
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	17261888	18999703	1286	0.2062
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	19001748	19041598	33	0.6098
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	19044317	25583341	3957	0.2055
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	25593128	25646689	25	-1.1463
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	25646744	35091674	4974	0.2012
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	35102654	35104491	20	-0.4125
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	35114268	36258947	531	0.1973
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	36259820	36613704	141	-0.4566
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	36625556	41216154	2617	0.2279
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	41216199	43293913	1278	0.6867
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	43297808	44034135	485	0.212
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	44037124	46009886	1051	0.659
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	46017592	55397624	5198	0.2122
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	55398277	55412180	8	-0.5312
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	55416827	70630281	11190	0.2431
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	70634585	70681381	20	0.6845
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	70682550	72784154	1371	0.2393
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	72784170	72810938	28	0.9481
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	72811076	84161015	7329	0.2624
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	84163358	85036784	622	0.7112
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	85038958	104221531	12135	-0.4522
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	104221631	104225568	10	-1.2946
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	104239689	104303403	14	0.5996
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	104303501	106013376	919	-0.4693
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	106019205	106022375	17	0.5248
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	106024055	108729759	1943	-0.4502
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	108734235	108734877	2	-3.7184
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	108737496	112690326	2698	-0.4674
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	112695965	112696273	4	-1.8473
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	112696308	118644430	3820	-0.488
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	118649840	120687115	1282	0.26
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	120689060	121343796	97	0.7199
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D09_787468	1	121355881	146043724	449	0.2386
