Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	61735	98588	16	0.7723
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	98602	3261682	776	0.0693
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	3267349	25583341	13324	-0.5889
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	25593128	25646986	28	-2.0591
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	25661501	29208956	1482	-0.5884
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	29218917	72768498	27372	0.1424
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	72768916	72811148	46	-1.397
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	72811904	110227515	23724	0.1355
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	110232974	110240178	17	-0.7766
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	110242953	112690326	1956	0.1399
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	112695965	112697390	25	-0.3767
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	112705956	148870937	6365	0.1395
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	148893345	149024808	15	-0.2157
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	149036524	149256691	133	-0.6067
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	149259416	149436842	31	-0.235
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	149521840	152555527	1499	0.1261
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	152555706	152586594	35	-2.0619
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	152590494	152756774	168	0.1559
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	152756806	152778558	45	-0.1902
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	152778576	194448234	28093	0.1302
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	194451411	194455018	2	1.9945
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	194457016	196771280	1500	0.1367
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	196783626	196816730	50	-0.1837
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	196823317	196901753	63	-0.7527
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	196905159	248736075	35715	0.138
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	248737447	248809109	38	-0.6081
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	1	248809369	249224388	140	0.1655
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	12784	8728909	6798	0.1367
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	8729025	8731220	3	-1.0822
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	8736420	22764544	9981	0.1414
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	22767435	22767900	3	-1.1033
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	22771264	29643332	3892	0.1311
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	29643885	29644646	7	-0.5704
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	29644937	33179281	2249	0.1413
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	33179432	33180485	2	-0.9822
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	33180644	34691069	1185	0.1361
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	34699315	34737057	46	-0.2361
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	34737163	35968036	876	0.1237
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D05_698112	2	35975973	35986716	5	1.0826
