Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	61735	84609883	50757	0.0923
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	84611219	106013376	13385	-0.3781
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	106019205	106022375	17	-1.6919
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	106024055	117232072	7585	-0.3765
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	117234969	152555706	5128	0.2469
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	152555767	152586594	34	-1.1872
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	152590494	152761923	172	0.3758
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	152761939	152768359	34	-1.1089
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	152768570	174797333	14881	0.3867
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	174797385	174797448	2	1.9792
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	174797505	179330528	3090	0.4049
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	179331382	179333315	3	-1.0686
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	179339206	196738981	11591	0.3948
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	196739972	196823317	89	-0.0358
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	196823613	248737447	35778	0.3948
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	248749194	248797213	33	-0.1715
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	1	248805339	249224388	145	0.4634
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	12784	7639373	5928	-0.0256
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	7643065	7646972	2	1.9412
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	7647007	27769833	13551	-0.0259
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	27772015	27779518	6	-0.9389
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	27784428	52754561	17724	-0.0745
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	52754728	52754865	2	-2.3953
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	52754881	53471315	608	-0.0804
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	53473426	53479918	9	-1.244
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	53480491	59546538	4140	-0.086
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	59546545	59553428	7	-0.5569
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	59555544	59622482	53	-0.0753
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	59626657	59643498	6	1.0254
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	59644456	75877812	10127	-0.0793
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	75881139	75881158	2	2.2002
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	75881277	97857927	9128	-0.0541
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	97865337	97918717	23	-0.7869
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	97949121	98118212	16	-0.1095
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	98140747	98162189	9	0.8506
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	98166878	106874722	5576	-0.0197
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	106880095	106887255	13	0.6854
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G01_1151594	2	106887408	114362015	3844	-0.0308
