Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	61735	16149915	8397	-0.0118
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	16153497	16155010	10	-1.8625
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	16165661	17011560	349	0.0545
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	17011669	17112177	49	-0.3029
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	17114427	17261797	66	0.3985
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	17261888	22318183	3342	-0.0054
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	22319001	22342389	10	-1.3451
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	22344202	25604466	1918	-0.0024
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	25605058	25663310	21	0.6473
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	25663344	35091594	4955	-0.006
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	35091638	35104491	22	-0.6915
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	35114268	55721319	11497	-0.0035
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	55723441	55724299	7	-2.0645
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	55729368	72763370	12330	0.0011
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	72768418	72811148	48	-2.1204
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	72811904	107402635	21957	-0.0037
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	107403028	107403069	2	1.929
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	107403157	110227515	1740	-0.0078
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	110232974	110240178	17	-1.8605
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	110242953	149024802	8343	0.0037
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	149024808	149336636	143	-0.7294
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	149336702	149521840	23	-0.2457
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	149521846	149644969	10	0.9393
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	149645033	152555527	1487	0.0029
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	152555706	152586238	31	0.9925
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_D04_1320430	1	152586278	155661227	1764	-0.0018
