Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	61735	356443	28	-0.0077
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	356542	534551	3	-1.6595
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	564621	13159083	6539	-0.0018
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	13178385	13187370	5	-1.1736
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	13214448	17016880	2217	-0.0051
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	17017078	17262247	104	-0.5118
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	17276241	55090200	21329	0.0029
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	55093291	55094389	2	1.4914
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	55096450	55723441	469	-0.0359
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	55724023	55724299	6	-1.8231
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	55729368	72768916	12340	-0.0759
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	72768936	72811148	45	-1.563
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	72811904	92579244	13007	-0.0838
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	92579675	92584519	4	-1.6866
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	92585040	104163787	7078	-0.0703
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	104178038	104303501	27	-0.5885
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	104303639	106013376	916	-0.0701
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_F04_1367340	1	106019205	106022360	16	0.7841
