Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	61735	16149915	8401	-0.0034
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	16153497	16155010	10	0.6667
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	16165661	16844932	298	-0.0052
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	16846035	17114712	103	-0.343
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	17177045	17291894	74	0.2424
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	17295212	72768418	34102	0.0055
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	72768498	72811076	45	-0.5142
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	72811133	104130168	20057	-0.0259
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	104132359	104268222	37	-0.7362
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	104303403	106013376	918	-0.0043
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	106019205	106035052	31	-0.3444
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	106035061	110232974	2655	0.0126
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	110233037	110240178	16	-1.1921
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	110242953	145151728	7367	0.034
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	145151959	145152018	3	1.588
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	145152050	149024808	983	0.0826
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	149036524	149336636	141	-0.5148
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	149336702	152555706	1516	0.0683
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	152555767	152586594	34	-1.5504
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	152590494	169216937	11539	0.0599
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	169233974	169238558	4	-2.6944
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	169238731	185103273	10536	0.07
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	185107854	185128155	10	0.677
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	185128250	196714873	7645	0.0757
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	196727850	196761820	42	0.3854
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	196762066	237398593	27633	0.1212
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	237401050	237402265	2	-2.2363
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	237403610	248587826	8117	0.115
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	248592872	248635140	17	0.6383
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	248637264	248737447	27	-0.0335
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	248749194	248797213	33	-1.9469
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	1	248805339	249224388	145	0.0979
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	12784	34691069	24067	-0.0115
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	34699315	34737057	45	-1.8026
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	34737163	52743925	13025	0.0679
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	52754468	52754881	7	-1.0577
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	52758753	52781295	25	-0.2941
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	52781326	86937687	21928	0.1018
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	86953070	86970406	3	-1.653
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	86971745	129638078	21171	0.067
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	129638478	129640329	16	-0.6135
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	129646448	168172932	23104	-0.0066
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	168175848	168181440	9	-0.8885
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	168187928	208354955	24339	-0.0302
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	208355178	208359476	17	-0.7861
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	208359519	229262292	13575	-0.0464
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	229264414	229266374	2	-2.5612
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	229268856	233294163	2354	-0.0427
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	233294239	233302835	2	-1.6481
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	2	233302941	243089456	6185	-0.0741
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_H11_734802	3	60345	6646543	5839	0.0165
