Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	61735	1922594	348	-0.0012
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	1923504	2061969	31	-0.331
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	2069681	2074104	3	1.9672
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	2075068	16816090	8305	-0.1469
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	16819633	16963313	36	-0.7275
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	16963545	17225225	91	-0.0912
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	17225367	17228706	3	1.2569
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	17235684	22273833	3367	-0.146
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	22276058	22337243	29	-0.6539
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	22338125	54432019	17559	-0.1508
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	54434610	54440228	4	-1.4598
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	54448089	62442448	6069	-0.1183
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	62442462	62442469	2	1.6394
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	62442475	68845436	4691	-0.1294
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	68845611	68847248	3	-2.0014
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	68847466	144880328	33356	-0.1079
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	144880417	152555706	2780	0.5624
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	152555767	152586238	30	-0.4186
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	152586278	152757690	174	0.5997
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	152759678	152768700	38	-0.8093
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	152773905	169216937	11334	0.6127
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H06_747964	1	169233974	169238558	4	-0.4866
