Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	61735	356542	29	0.4395
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	404171	13763960	6593	-0.0568
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	13776072	13776828	2	-3.1546
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	13787273	16153857	1797	-0.0451
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	16153925	16154201	2	1.4397
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	16154239	16943613	321	-0.0434
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	16943638	17029592	48	0.3517
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	17030245	17114712	34	-0.0447
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	17177045	17262247	66	0.3412
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	17276241	25583341	5269	-0.0583
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	25593128	25600305	5	0.9409
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	25600322	25636451	16	0.2805
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	25645184	25646946	6	0.7837
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	25646986	69826768	26986	-0.0517
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	69828463	69828520	2	-1.6289
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_E11_1388094	1	69830980	72763370	1861	-0.0316
