Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	61735	228706	18	0.4355
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	228729	1510801	208	-0.0331
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	1627918	1687587	18	-0.8928
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	1687650	16149915	8163	0.0401
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	16153497	16155010	10	-1.0949
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	16165661	17005978	346	0.0309
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	17011450	17012741	12	-0.8262
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	17012785	17037097	17	-0.0867
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	17045458	17177965	28	0.4644
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	17182437	17348847	96	-0.2288
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	17352635	25583341	5234	0.0498
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	25593128	25611452	14	0.6561
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	25616296	30737373	2415	0.0305
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	30738355	30739796	7	-0.8616
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	30741496	54580012	13319	0.0406
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	54580191	54593256	11	0.5935
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	54594263	72750353	13094	0.0132
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	72756113	72763370	9	-0.7396
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	72768418	72773413	9	1.8979
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	72773429	72779080	3	4.12
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	72779091	72811148	36	1.4685
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	72811904	96161026	15243	0.0143
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	96161092	96161096	2	-2.398
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	96161488	104163787	4830	0.016
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	104178038	104303403	26	0.7671
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	104303501	110227515	3605	0.0218
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	110232974	110240178	17	-1.3098
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	110242953	112690326	1957	0.0145
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	112695965	112697241	23	-1.4631
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	112697376	152555706	8038	0.0167
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D05_734626	1	152555767	152590494	35	1.0001
